method,grouping,feature,metric,importance,std,n_channels
pfi,channel,data,mae,8.255467176437378,0.28389605612076835,1
pfi,channel,data,nll,16.123012089729308,0.9163343478242367,1
pfi,channel,data,crps,7.58860328437878,0.27824448594093376,1
pfi,channel,lat,mae,0.0,0.0,1
pfi,channel,lat,nll,0.0,0.0,1
pfi,channel,lat,crps,0.0,0.0,1
pfi,channel,lon,mae,0.0,0.0,1
pfi,channel,lon,nll,0.0,0.0,1
pfi,channel,lon,crps,0.0,0.0,1
pfi,channel,cos_time,mae,0.3092690944671631,0.013037821210799293,1
pfi,channel,cos_time,nll,0.19583728313446044,0.0065458054770512275,1
pfi,channel,cos_time,crps,0.21688681702964482,0.008002268332755464,1
pfi,channel,sin_time,mae,0.10985522270202637,0.0058310047627838524,1
pfi,channel,sin_time,nll,0.06898624897003174,0.004580494426771367,1
pfi,channel,sin_time,crps,0.07265021105845207,0.0043500634385154465,1
pfi,channel,elevation,mae,0.0,0.0,1
pfi,channel,elevation,nll,0.0,0.0,1
pfi,channel,elevation,crps,0.0,0.0,1
pfi,variable,variable=data,mae,8.114827871322632,0.2947844241857216,1
pfi,variable,variable=data,nll,15.548499989509583,0.5959648910482502,1
pfi,variable,variable=data,crps,7.439411937331926,0.28053231705436915,1
pfi,variable,variable=scaffold,mae,0.3599142074584961,0.014682680464047328,5
pfi,variable,variable=scaffold,nll,0.226224684715271,0.010400635747087534,5
pfi,variable,variable=scaffold,crps,0.2505409928874371,0.010704667319726217,5
