method,grouping,feature,metric,importance,std,n_channels
pfi,channel,data,mae,7.24475793838501,0.2029242153259662,1
pfi,channel,data,nll,13.407190227508545,0.5796075279785893,1
pfi,channel,data,crps,6.62314630265602,0.20126090523349455,1
pfi,channel,lat,mae,0.0,0.0,1
pfi,channel,lat,nll,0.0,0.0,1
pfi,channel,lat,crps,0.0,0.0,1
pfi,channel,lon,mae,0.0,0.0,1
pfi,channel,lon,nll,0.0,0.0,1
pfi,channel,lon,crps,0.0,0.0,1
pfi,channel,cos_time,mae,0.2571730613708496,0.02269331419339224,1
pfi,channel,cos_time,nll,0.17559385299682617,0.01273325401800231,1
pfi,channel,cos_time,crps,0.1852658149935976,0.013802428121807946,1
pfi,channel,sin_time,mae,0.08140797615051269,0.003657579646257548,1
pfi,channel,sin_time,nll,0.06082396507263184,0.0035511795142319238,1
pfi,channel,sin_time,crps,0.05870182478839827,0.0028869553675917865,1
pfi,channel,elevation,mae,0.0,0.0,1
pfi,channel,elevation,nll,0.0,0.0,1
pfi,channel,elevation,crps,0.0,0.0,1
pfi,variable,variable=data,mae,7.277721881866455,0.15958210357208247,1
pfi,variable,variable=data,nll,13.679959392547607,0.4560788994504305,1
pfi,variable,variable=data,crps,6.652034439130512,0.15014963840087567,1
pfi,variable,variable=scaffold,mae,0.28680872917175293,0.00959169728008544,5
pfi,variable,variable=scaffold,nll,0.19950399398803711,0.0027922876398249054,5
pfi,variable,variable=scaffold,crps,0.20686118162394532,0.0053565723174722815,5
