method,grouping,feature,metric,importance,std,n_channels
pfi,channel,data,mae,7.945050144195557,0.2720080908670137,1
pfi,channel,data,nll,13.7597177028656,0.8247096679182542,1
pfi,channel,data,crps,7.225295692281736,0.266278776419315,1
pfi,channel,lat,mae,0.0,0.0,1
pfi,channel,lat,nll,0.0,0.0,1
pfi,channel,lat,crps,0.0,0.0,1
pfi,channel,lon,mae,0.0,0.0,1
pfi,channel,lon,nll,0.0,0.0,1
pfi,channel,lon,crps,0.0,0.0,1
pfi,channel,cos_time,mae,0.456205940246582,0.025205985928527408,1
pfi,channel,cos_time,nll,0.30610246658325196,0.017596686600189,1
pfi,channel,cos_time,crps,0.3288553916014926,0.01745681528440287,1
pfi,channel,sin_time,mae,0.0865816593170166,0.0040533500243302165,1
pfi,channel,sin_time,nll,0.05207672119140625,0.0027974168956708023,1
pfi,channel,sin_time,crps,0.056982853499561094,0.0030000405706627443,1
pfi,variable,variable=data,mae,8.038639354705811,0.40538806642799186,1
pfi,variable,variable=data,nll,13.886406087875367,1.0698113116858097,1
pfi,variable,variable=data,crps,7.31401369213623,0.3908326512479997,1
pfi,variable,variable=scaffold,mae,0.48895366191864015,0.02069634421529788,4
pfi,variable,variable=scaffold,nll,0.32288384437561035,0.014258752499294742,4
pfi,variable,variable=scaffold,crps,0.3480944610317673,0.015953851957847886,4
