method,grouping,feature,metric,importance,std,n_channels
pfi,channel,z1000_00,mae,0.010454654693603516,0.0011291786143804525,1
pfi,channel,z1000_00,nll,0.00689549446105957,0.0006967243792913473,1
pfi,channel,z1000_00,crps,0.006818795053323079,0.0006873983078822252,1
pfi,channel,z925_00,mae,0.013031530380249023,0.0015797187011077091,1
pfi,channel,z925_00,nll,0.004404449462890625,0.0008991230359807005,1
pfi,channel,z925_00,crps,0.005839280894113541,0.0009539323750960114,1
pfi,channel,z850_00,mae,0.0036495447158813475,0.0006313958687152079,1
pfi,channel,z850_00,nll,0.00219118595123291,0.00039656784427371855,1
pfi,channel,z850_00,crps,0.0020065628205914398,0.00041097579073442005,1
pfi,channel,z700_00,mae,0.005229854583740234,0.0005897390733025992,1
pfi,channel,z700_00,nll,0.0025791168212890626,0.00042122652241515635,1
pfi,channel,z700_00,crps,0.0026497442963872462,0.0004295396553285568,1
pfi,channel,z500_00,mae,0.002901124954223633,0.0005069762322491231,1
pfi,channel,z500_00,nll,0.0010882854461669923,0.00043053813175124685,1
pfi,channel,z500_00,crps,0.0013606335798042046,0.0003815399308234789,1
pfi,channel,z300_00,mae,0.00874941349029541,0.001740507684543136,1
pfi,channel,z300_00,nll,0.004331445693969727,0.0007515695132606074,1
pfi,channel,z300_00,crps,0.004730548250255651,0.000880560838621118,1
pfi,channel,z1000_06,mae,0.0028372764587402343,0.0006724635748601337,1
pfi,channel,z1000_06,nll,0.0011521577835083008,0.00039667193732622615,1
pfi,channel,z1000_06,crps,0.0014774357574005137,0.0004204633035234727,1
pfi,channel,z925_06,mae,0.022307586669921876,0.0031387476231168627,1
pfi,channel,z925_06,nll,0.008399558067321778,0.0016233853394491612,1
pfi,channel,z925_06,crps,0.010789518213932791,0.0017635316107249153,1
pfi,channel,z850_06,mae,0.014650797843933106,0.0008220056671989554,1
pfi,channel,z850_06,nll,0.004700303077697754,0.0007212751025589006,1
pfi,channel,z850_06,crps,0.006561671908807254,0.0005920511568621795,1
pfi,channel,z700_06,mae,0.0022239923477172852,0.0006249205445118358,1
pfi,channel,z700_06,nll,0.0019808530807495115,0.0002491824636493368,1
pfi,channel,z700_06,crps,0.0016715646934789773,0.00033612313362594106,1
pfi,channel,z500_06,mae,0.0034935474395751953,0.0004429093094867368,1
pfi,channel,z500_06,nll,0.0025426387786865235,0.00026062779509836853,1
pfi,channel,z500_06,crps,0.0022313685519704364,0.00016959810995767328,1
pfi,channel,z300_06,mae,0.0015684843063354492,0.0003601515386064628,1
pfi,channel,z300_06,nll,0.0016990900039672852,0.00017874493857286957,1
pfi,channel,z300_06,crps,0.0012562344540663962,0.00017272690817533604,1
pfi,channel,z1000_12,mae,0.11591811180114746,0.005980485861919487,1
pfi,channel,z1000_12,nll,0.062276387214660646,0.004225994252210676,1
pfi,channel,z1000_12,crps,0.0678768149153997,0.0041380384732427646,1
pfi,channel,z925_12,mae,0.0019640207290649416,0.0007866650863980461,1
pfi,channel,z925_12,nll,0.000559854507446289,0.00034480860834447223,1
pfi,channel,z925_12,crps,0.0010373646812611658,0.0004076537608594486,1
pfi,channel,z850_12,mae,0.017041659355163573,0.0037593648180374766,1
pfi,channel,z850_12,nll,0.00624849796295166,0.0014399052609764726,1
pfi,channel,z850_12,crps,0.008153336668017342,0.0016997495582404454,1
pfi,channel,z700_12,mae,0.005535149574279785,0.0007233189651453042,1
pfi,channel,z700_12,nll,0.004526329040527344,0.00037986195724967075,1
pfi,channel,z700_12,crps,0.003634708800008335,0.00039301614927010717,1
pfi,channel,z500_12,mae,0.007821893692016602,0.0008442949550912848,1
pfi,channel,z500_12,nll,0.0038120031356811525,0.0004205295646746563,1
pfi,channel,z500_12,crps,0.004224376231004223,0.00035823819958847426,1
pfi,channel,z300_12,mae,0.004082202911376953,0.000269158800438294,1
pfi,channel,z300_12,nll,0.0011895656585693359,0.00010899769953984894,1
pfi,channel,z300_12,crps,0.0018597801260739066,8.833992882219129e-05,1
pfi,channel,z1000_15,mae,0.04921801090240478,0.0024476731236752047,1
pfi,channel,z1000_15,nll,0.02646212577819824,0.0015546554194193576,1
pfi,channel,z1000_15,crps,0.02889579857658644,0.0016390230610075184,1
pfi,channel,z925_15,mae,0.0010383844375610352,0.00023585365099163176,1
pfi,channel,z925_15,nll,0.0005051612854003907,0.00019658598027843312,1
pfi,channel,z925_15,crps,0.0006109509499221399,0.00013153734296862953,1
pfi,channel,z850_15,mae,0.014366579055786134,0.0014507034215680333,1
pfi,channel,z850_15,nll,0.004701018333435059,0.0006389524864828698,1
pfi,channel,z850_15,crps,0.006710756485936042,0.0007899683992833807,1
pfi,channel,z700_15,mae,0.0047912120819091795,0.00040218534363363636,1
pfi,channel,z700_15,nll,0.0027850866317749023,0.0002314224033969101,1
pfi,channel,z700_15,crps,0.0026697297057510115,0.00021125201025595867,1
pfi,channel,z500_15,mae,0.007942390441894532,0.0010941724127505094,1
pfi,channel,z500_15,nll,0.004408049583435059,0.000592732964150217,1
pfi,channel,z500_15,crps,0.004389986951341474,0.0006113079460881585,1
pfi,channel,z300_15,mae,0.007446980476379395,0.0008811477007458406,1
pfi,channel,z300_15,nll,0.003635096549987793,0.00037329085539850005,1
pfi,channel,z300_15,crps,0.004001994392848873,0.00047446070810547135,1
pfi,channel,z1000_18,mae,0.002782392501831055,0.0005303308112641854,1
pfi,channel,z1000_18,nll,0.0023427963256835937,0.00027865046766073655,1
pfi,channel,z1000_18,crps,0.0019771154552789215,0.00022035535414026964,1
pfi,channel,z925_18,mae,0.01790473461151123,0.0013169451831578833,1
pfi,channel,z925_18,nll,0.006374979019165039,0.000829180741362796,1
pfi,channel,z925_18,crps,0.008559407017483566,0.0008792975582646164,1
pfi,channel,z850_18,mae,0.022643256187438964,0.0025239373538777795,1
pfi,channel,z850_18,nll,0.00892636775970459,0.0013914170503640598,1
pfi,channel,z850_18,crps,0.010921465035253996,0.001418511900492692,1
pfi,channel,z700_18,mae,0.012265229225158691,0.0009068949301901168,1
pfi,channel,z700_18,nll,0.005415272712707519,0.0004045258268412056,1
pfi,channel,z700_18,crps,0.006100762766638512,0.0004485570580181495,1
pfi,channel,z500_18,mae,0.0038274288177490234,0.00039452621106777884,1
pfi,channel,z500_18,nll,0.0021938323974609376,0.00027197791456681054,1
pfi,channel,z500_18,crps,0.0021664197037590594,0.0002503944575528968,1
pfi,channel,z300_18,mae,0.003565359115600586,0.0005867529118655215,1
pfi,channel,z300_18,nll,0.003051471710205078,0.00033867595061514853,1
pfi,channel,z300_18,crps,0.0024121380642040833,0.00029981173210213757,1
pfi,channel,t1000_00,mae,0.20464963912963868,0.006600764803978273,1
pfi,channel,t1000_00,nll,0.09981429576873779,0.00444488716872807,1
pfi,channel,t1000_00,crps,0.11716824213352409,0.00451793271375157,1
pfi,channel,t925_00,mae,0.13489274978637694,0.006112706533627408,1
pfi,channel,t925_00,nll,0.06662778854370117,0.004051272395613563,1
