method,grouping,feature,metric,importance,std,n_channels
lime,channel,z1000_00,pred_tmax_degC,-0.038055524794377994,0.1660543131114188,1
lime,channel,z925_00,pred_tmax_degC,0.016496516836560844,0.13520319327601488,1
lime,channel,z850_00,pred_tmax_degC,-0.005884031405586263,0.04019757531480351,1
lime,channel,z700_00,pred_tmax_degC,-0.010919053322699476,0.03256881434093895,1
lime,channel,z500_00,pred_tmax_degC,-0.00024029731251405326,0.022744767876751913,1
lime,channel,z300_00,pred_tmax_degC,-0.01815657258273785,0.07956043258555726,1
lime,channel,z1000_06,pred_tmax_degC,0.027112877662189012,0.04266738882026059,1
lime,channel,z925_06,pred_tmax_degC,0.05160631627775563,0.21501706754489802,1
lime,channel,z850_06,pred_tmax_degC,0.016678054032343674,0.12805050738086676,1
lime,channel,z700_06,pred_tmax_degC,-0.0050803334468867735,0.06792046158862038,1
lime,channel,z500_06,pred_tmax_degC,0.010988121919921535,0.032773047468959295,1
lime,channel,z300_06,pred_tmax_degC,0.001534597204578049,0.009462755856946493,1
lime,channel,z1000_12,pred_tmax_degC,0.0010794865933058395,0.6273947256191654,1
lime,channel,z925_12,pred_tmax_degC,0.0052679194536024605,0.06775783595281379,1
lime,channel,z850_12,pred_tmax_degC,0.02379745609458892,0.18152197193935607,1
lime,channel,z700_12,pred_tmax_degC,0.011740446350785014,0.05233951671880122,1
lime,channel,z500_12,pred_tmax_degC,0.010844267153092382,0.06861425328762787,1
lime,channel,z300_12,pred_tmax_degC,-0.004585259960643178,0.05074592419350569,1
lime,channel,z1000_15,pred_tmax_degC,-0.012220658817542362,0.4253371766745364,1
lime,channel,z925_15,pred_tmax_degC,0.014105107579433753,0.02244515524967294,1
lime,channel,z850_15,pred_tmax_degC,0.01621736301965363,0.155475219054838,1
lime,channel,z700_15,pred_tmax_degC,-0.005578853119006273,0.03862412465128201,1
lime,channel,z500_15,pred_tmax_degC,-0.002434370082375234,0.060361360023976476,1
lime,channel,z300_15,pred_tmax_degC,-0.011002405675703014,0.06329764846771767,1
lime,channel,z1000_18,pred_tmax_degC,0.01936717899317086,0.017003888345841336,1
lime,channel,z925_18,pred_tmax_degC,0.02059843220684132,0.23199984041204433,1
lime,channel,z850_18,pred_tmax_degC,0.015492028541714213,0.218882832702875,1
lime,channel,z700_18,pred_tmax_degC,-0.00919353660430823,0.10374102466852753,1
lime,channel,z500_18,pred_tmax_degC,-0.0010076246973706137,0.03840202122649284,1
lime,channel,z300_18,pred_tmax_degC,-0.014820695082796933,0.03166031924005579,1
lime,channel,t1000_00,pred_tmax_degC,-0.004761372561328608,0.6270992408206755,1
lime,channel,t925_00,pred_tmax_degC,0.05422189100661616,0.49256751151721384,1
lime,channel,t850_00,pred_tmax_degC,0.004133458696934409,0.09366056579459323,1
lime,channel,t700_00,pred_tmax_degC,0.01741582063014048,0.05563499805547178,1
lime,channel,t500_00,pred_tmax_degC,-0.058282673406205895,0.10928569355288915,1
lime,channel,t300_00,pred_tmax_degC,-0.01773764204850357,0.022758381723501753,1
lime,channel,t1000_06,pred_tmax_degC,0.04782585044945162,0.39158241834054874,1
lime,channel,t925_06,pred_tmax_degC,0.06877313187179322,0.2573144760058646,1
lime,channel,t850_06,pred_tmax_degC,0.06186462565526851,0.03501144872588499,1
lime,channel,t700_06,pred_tmax_degC,0.04102738375470763,0.023219996801786536,1
lime,channel,t500_06,pred_tmax_degC,-0.00799428573398184,0.03980776167601846,1
lime,channel,t300_06,pred_tmax_degC,-0.0012448544480687857,0.01868164468124426,1
lime,channel,t1000_12,pred_tmax_degC,0.01918633351299409,1.3302089208819015,1
lime,channel,t925_12,pred_tmax_degC,0.1303761981054319,1.0682809682371468,1
lime,channel,t850_12,pred_tmax_degC,0.10495536216240413,0.15484388249344386,1
lime,channel,t700_12,pred_tmax_degC,0.05844382401864035,0.07100189065754471,1
lime,channel,t500_12,pred_tmax_degC,-0.02305862495024892,0.05569276550600144,1
lime,channel,t300_12,pred_tmax_degC,-0.041828800588848684,0.040501821496297254,1
lime,channel,t1000_15,pred_tmax_degC,0.009546303279566043,1.002300437309331,1
lime,channel,t925_15,pred_tmax_degC,0.0586730413355413,0.8221419754955847,1
lime,channel,t850_15,pred_tmax_degC,0.06306507364620555,0.10213072799556261,1
lime,channel,t700_15,pred_tmax_degC,0.01886160116005577,0.0507090868145659,1
lime,channel,t500_15,pred_tmax_degC,-0.018223738829838652,0.0273833259537175,1
lime,channel,t300_15,pred_tmax_degC,-0.08636959225128378,0.12200604975712766,1
