method,grouping,feature,metric,importance,std,n_channels
pfi,channel,z1000_00,mae,0.025613617897033692,0.003385077728672771,1
pfi,channel,z1000_00,nll,0.014928030967712402,0.001352060782005056,1
pfi,channel,z1000_00,crps,0.016095267448892246,0.0017420183338980651,1
pfi,channel,z925_00,mae,0.008363676071166993,0.003324446053826319,1
pfi,channel,z925_00,nll,0.0015484809875488282,0.0011001138940075286,1
pfi,channel,z925_00,crps,0.002870510345801591,0.001562302970410036,1
pfi,channel,z850_00,mae,0.0035661935806274416,0.0006688167921864642,1
pfi,channel,z850_00,nll,0.0009288311004638672,0.0002973326559607626,1
pfi,channel,z850_00,crps,0.0014281185682222032,0.0003238388023225543,1
pfi,channel,z700_00,mae,0.004491114616394043,0.000761282975542709,1
pfi,channel,z700_00,nll,0.002415370941162109,0.0005584466097532035,1
pfi,channel,z700_00,crps,0.0023386294805649134,0.0005576189726424199,1
pfi,channel,z500_00,mae,0.002629542350769043,0.0007894612583554259,1
pfi,channel,z500_00,nll,0.0011452436447143555,0.0007606232696434625,1
pfi,channel,z500_00,crps,0.0013665519006952121,0.000636306233516722,1
pfi,channel,z300_00,mae,0.009228157997131347,0.0016505503446450779,1
pfi,channel,z300_00,nll,0.004085111618041992,0.000757078053908145,1
pfi,channel,z300_00,crps,0.004574532003778997,0.0008639598430415459,1
pfi,channel,z1000_06,mae,7.526874542236328e-05,0.0003419951891763976,1
pfi,channel,z1000_06,nll,-0.00019843578338623046,0.0001875895591971309,1
pfi,channel,z1000_06,crps,5.898714151508777e-06,0.0001640190850286848,1
pfi,channel,z925_06,mae,0.015150880813598633,0.0022626727590339653,1
pfi,channel,z925_06,nll,0.004199600219726563,0.0012977904402781606,1
pfi,channel,z925_06,crps,0.006759448823501946,0.0013199040653985512,1
pfi,channel,z850_06,mae,0.008584117889404297,0.0018020949160389478,1
pfi,channel,z850_06,nll,0.001579117774963379,0.0007554724585237944,1
pfi,channel,z850_06,crps,0.0030250434122713445,0.0008240782547035772,1
pfi,channel,z700_06,mae,0.0021042823791503906,0.0006425732928514528,1
pfi,channel,z700_06,nll,0.003195381164550781,0.000534179784221331,1
pfi,channel,z700_06,crps,0.002123256538358076,0.00043881823429382577,1
pfi,channel,z500_06,mae,0.0018245697021484375,0.001216248223158288,1
pfi,channel,z500_06,nll,0.001344156265258789,0.0009686216463676242,1
pfi,channel,z500_06,crps,0.0011922613928297744,0.0008593326338425097,1
pfi,channel,z300_06,mae,0.0018187522888183593,0.0004402690727236654,1
pfi,channel,z300_06,nll,0.0013397693634033202,0.00029510023448008993,1
pfi,channel,z300_06,crps,0.001108330599979035,0.00024100572921925933,1
pfi,channel,z1000_12,mae,0.16712710857391358,0.00592603217091697,1
pfi,channel,z1000_12,nll,0.0883476734161377,0.001943316378637097,1
pfi,channel,z1000_12,crps,0.09915587612306868,0.0029035466439134034,1
pfi,channel,z925_12,mae,0.004212594032287598,0.00105844615901722,1
pfi,channel,z925_12,nll,0.001477217674255371,0.0006820435771013202,1
pfi,channel,z925_12,crps,0.0022185683179176017,0.0006288157896424235,1
pfi,channel,z850_12,mae,0.012300682067871094,0.002550700088939271,1
pfi,channel,z850_12,nll,0.004509401321411133,0.0013242933301360533,1
pfi,channel,z850_12,crps,0.005861776583389866,0.001537723413822566,1
pfi,channel,z700_12,mae,0.002354073524475098,0.0004350359311192464,1
pfi,channel,z700_12,nll,0.0018286705017089844,0.00029409336180857327,1
pfi,channel,z700_12,crps,0.0014942244284377626,0.00024372526884344864,1
pfi,channel,z500_12,mae,0.0035260677337646484,0.0010735317984840748,1
pfi,channel,z500_12,nll,0.0017672061920166015,0.0008112672799254951,1
pfi,channel,z500_12,crps,0.001858602896229322,0.0007377610822191363,1
pfi,channel,z300_12,mae,0.002872729301452637,0.00025472056095787656,1
pfi,channel,z300_12,nll,0.00016567707061767578,0.00033861847559601684,1
pfi,channel,z300_12,crps,0.0010260227419129464,0.00024086601589876753,1
pfi,channel,z1000_15,mae,0.0861595869064331,0.0038114477294353207,1
pfi,channel,z1000_15,nll,0.042563676834106445,0.0028713333574052658,1
pfi,channel,z1000_15,crps,0.04891738493617319,0.002553918700705657,1
pfi,channel,z925_15,mae,-8.556842803955078e-05,0.0002782695824939986,1
pfi,channel,z925_15,nll,-0.0004935503005981445,0.0003200518644443142,1
pfi,channel,z925_15,crps,-0.0001261621962898696,0.00020179922623681664,1
pfi,channel,z850_15,mae,0.009307336807250977,0.001576132598564406,1
pfi,channel,z850_15,nll,0.0011575460433959962,0.001088829327806533,1
pfi,channel,z850_15,crps,0.003441374697592292,0.0010586684266491776,1
pfi,channel,z700_15,mae,0.0020431756973266603,0.0006016989363961513,1
pfi,channel,z700_15,nll,0.0014087438583374023,0.0004452840126823319,1
pfi,channel,z700_15,crps,0.0010808805646304932,0.00038021631858622463,1
pfi,channel,z500_15,mae,0.005655050277709961,0.0007442593031300886,1
pfi,channel,z500_15,nll,0.0033945322036743166,0.0006065176649248548,1
pfi,channel,z500_15,crps,0.0031915730423424105,0.0004917937938217522,1
pfi,channel,z300_15,mae,0.005216574668884278,0.0014505510526391457,1
pfi,channel,z300_15,nll,0.0020440340042114256,0.0009158256306851147,1
pfi,channel,z300_15,crps,0.0026117052684248242,0.0008964777508486893,1
pfi,channel,z1000_18,mae,0.003386664390563965,0.0007989969442889822,1
pfi,channel,z1000_18,nll,0.0021718502044677734,0.0007472646820237115,1
pfi,channel,z1000_18,crps,0.0021842140113489394,0.00053915273720356,1
pfi,channel,z925_18,mae,0.011134147644042969,0.0019477455733176447,1
pfi,channel,z925_18,nll,0.0028285741806030273,0.000813171809866656,1
pfi,channel,z925_18,crps,0.004889324430414477,0.0009566410351306781,1
pfi,channel,z850_18,mae,0.015022516250610352,0.003305480423822387,1
pfi,channel,z850_18,nll,0.004492497444152832,0.001320112725509249,1
pfi,channel,z850_18,crps,0.0067264143278146,0.001485037272232847,1
pfi,channel,z700_18,mae,0.007622170448303223,0.0014537364765459311,1
pfi,channel,z700_18,nll,0.0032321453094482423,0.00021534499279208668,1
pfi,channel,z700_18,crps,0.003570333773714074,0.0004842611711517743,1
pfi,channel,z500_18,mae,0.0026063919067382812,0.0006832441302430974,1
pfi,channel,z500_18,nll,0.0009292364120483398,0.0003229006954877873,1
pfi,channel,z500_18,crps,0.0012356463726648447,0.0003564797638957854,1
pfi,channel,z300_18,mae,0.002477717399597168,0.0006960812325541547,1
pfi,channel,z300_18,nll,0.00205538272857666,0.0005765103345496864,1
pfi,channel,z300_18,crps,0.0016545950739305759,0.0004677761175146854,1
pfi,channel,t1000_00,mae,0.2067497491836548,0.011655704675334702,1
pfi,channel,t1000_00,nll,0.10662422180175782,0.008773984758955489,1
pfi,channel,t1000_00,crps,0.12246607570047034,0.008165903556315763,1
pfi,channel,t925_00,mae,0.13671841621398925,0.006127101488090791,1
pfi,channel,t925_00,nll,0.06809587478637695,0.0027574537906473865,1
pfi,channel,t925_00,crps,0.0784049476125871,0.00271774226713223,1
pfi,channel,t850_00,mae,0.0022656917572021484,0.001234311697676008,1
pfi,channel,t850_00,nll,0.0010542631149291991,0.0007932629499779881,1
pfi,channel,t850_00,crps,0.0015912333395640354,0.000680233641323048,1
pfi,channel,t700_00,mae,0.0009906291961669922,0.000894872505222993,1
pfi,channel,t700_00,nll,0.001973581314086914,0.0007259153527268869,1
pfi,channel,t700_00,crps,0.001058582267760566,0.0007285430421714447,1
pfi,channel,t500_00,mae,0.012817120552062989,0.0029642976358453324,1
pfi,channel,t500_00,nll,0.005930399894714356,0.0009683337391180403,1
pfi,channel,t500_00,crps,0.007078861164475115,0.001332096157037197,1
pfi,channel,t300_00,mae,0.0022259950637817383,0.00029479809914748626,1
pfi,channel,t300_00,nll,0.002045416831970215,0.00030397710045052423,1
pfi,channel,t300_00,crps,0.001629800462471942,0.0002674399680348457,1
pfi,channel,t1000_06,mae,0.09459445476531983,0.007922590367516115,1
pfi,channel,t1000_06,nll,0.04483728408813477,0.003115401808052251,1
pfi,channel,t1000_06,crps,0.05224014802844827,0.003998114019291266,1
pfi,channel,t925_06,mae,0.046047639846801755,0.0026565525246399616,1
pfi,channel,t925_06,nll,0.02163376808166504,0.00128199714371561,1
pfi,channel,t925_06,crps,0.024579230239786143,0.0013243115304870405,1
pfi,channel,t850_06,mae,0.002412080764770508,0.0005030472863649204,1
pfi,channel,t850_06,nll,0.002491879463195801,0.0003299595697744201,1
pfi,channel,t850_06,crps,0.00183309895496806,0.00019742731194883503,1
pfi,channel,t700_06,mae,0.000912785530090332,0.0010669899258942863,1
pfi,channel,t700_06,nll,0.0011196613311767578,0.0008958410504512472,1
pfi,channel,t700_06,crps,0.0008267256703509363,0.0007928097455086096,1
pfi,channel,t500_06,mae,0.0031710386276245115,0.0006625554319812169,1
pfi,channel,t500_06,nll,0.002315187454223633,0.00046083181697281555,1
pfi,channel,t500_06,crps,0.00198135625232041,0.0004818473687054576,1
pfi,channel,t300_06,mae,0.0014923572540283202,0.00041032957779897004,1
pfi,channel,t300_06,nll,0.0009830474853515625,0.00035700407143245464,1
pfi,channel,t300_06,crps,0.000936198741021177,0.0002889069744602125,1
pfi,channel,t1000_12,mae,0.5854109287261963,0.030140820228572358,1
pfi,channel,t1000_12,nll,0.35653343200683596,0.016244695240334516,1
pfi,channel,t1000_12,crps,0.38010799520995464,0.019586150532619476,1
pfi,channel,t925_12,mae,0.45480272769927976,0.024446705907055714,1
pfi,channel,t925_12,nll,0.25290932655334475,0.015236767202415716,1
pfi,channel,t925_12,crps,0.2788377506424604,0.015598501455701517,1
pfi,channel,t850_12,mae,0.021578192710876465,0.0028240569475968605,1
pfi,channel,t850_12,nll,0.01194605827331543,0.0015341583658994296,1
pfi,channel,t850_12,crps,0.011614270633695578,0.0015177267633845087,1
pfi,channel,t700_12,mae,0.006552648544311523,0.0011317817858613134,1
pfi,channel,t700_12,nll,0.003490447998046875,0.0004331461489562213,1
pfi,channel,t700_12,crps,0.0034747038849830326,0.00047770643077636726,1
pfi,channel,t500_12,mae,0.0027513027191162108,0.0009678383387306962,1
pfi,channel,t500_12,nll,0.0017529010772705078,0.0007368539958439408,1
pfi,channel,t500_12,crps,0.0017358260985882,0.0006124045036315915,1
pfi,channel,t300_12,mae,0.005255985260009766,0.0005599121657902581,1
pfi,channel,t300_12,nll,0.003960847854614258,0.00023553645226695978,1
pfi,channel,t300_12,crps,0.00334706831632412,0.0003476344229163298,1
pfi,channel,t1000_15,mae,0.3668435335159302,0.024346274317689418,1
pfi,channel,t1000_15,nll,0.2000209331512451,0.014613583563880489,1
pfi,channel,t1000_15,crps,0.2228203487488713,0.015507762823264019,1
pfi,channel,t925_15,mae,0.30030319690704343,0.022359165397562306,1
pfi,channel,t925_15,nll,0.15488553047180176,0.008859345042048047,1
pfi,channel,t925_15,crps,0.1759405210786232,0.011903725547897469,1
pfi,channel,t850_15,mae,0.009113764762878418,0.0030526545671086046,1
