method,grouping,feature,metric,importance,std,n_channels
lime,channel,z1000_00,pred_precip_mm,-0.01669173679924665,0.0414631418811556,1
lime,channel,z925_00,pred_precip_mm,0.0016903716750486576,0.012056867946806667,1
lime,channel,z850_00,pred_precip_mm,0.03601136326229899,0.058957419099838454,1
lime,channel,z700_00,pred_precip_mm,0.016393616869636602,0.03857902320355909,1
lime,channel,z500_00,pred_precip_mm,-0.012090529814004936,0.031999035489206844,1
lime,channel,z300_00,pred_precip_mm,-0.01568768325783793,0.032831308905001,1
lime,channel,z1000_06,pred_precip_mm,-0.004939877877550181,0.01567057360923424,1
lime,channel,z925_06,pred_precip_mm,-0.00667187681083822,0.02134898880264276,1
lime,channel,z850_06,pred_precip_mm,0.019326102940786558,0.04685593683313611,1
lime,channel,z700_06,pred_precip_mm,0.03760103790130168,0.07548054840198702,1
lime,channel,z500_06,pred_precip_mm,-0.012533900528400347,0.032380193524705184,1
lime,channel,z300_06,pred_precip_mm,-0.028847414858499537,0.04150691874523375,1
lime,channel,z1000_12,pred_precip_mm,-0.010069483502763455,0.024468717926040866,1
lime,channel,z925_12,pred_precip_mm,0.023031426382374463,0.03497471350444735,1
lime,channel,z850_12,pred_precip_mm,-0.04690798898318878,0.07789942812323444,1
lime,channel,z700_12,pred_precip_mm,-0.027185751223899112,0.03756203953572125,1
lime,channel,z500_12,pred_precip_mm,-0.0711897224157691,0.12876987061364836,1
lime,channel,z300_12,pred_precip_mm,-0.06929764351309614,0.1276857665787863,1
lime,channel,z1000_15,pred_precip_mm,0.018283682297517537,0.03880047974501313,1
lime,channel,z925_15,pred_precip_mm,-0.01448773420108497,0.055532003226295014,1
lime,channel,z850_15,pred_precip_mm,-0.031972897498018835,0.0688975842604826,1
lime,channel,z700_15,pred_precip_mm,-0.06149632512588129,0.10275387404935911,1
lime,channel,z500_15,pred_precip_mm,-0.05839574852736509,0.10916881295366081,1
lime,channel,z300_15,pred_precip_mm,-0.09010444944058907,0.17592325135317813,1
lime,channel,z1000_18,pred_precip_mm,-0.03735390758265866,0.07014312533987366,1
lime,channel,z925_18,pred_precip_mm,-0.01459544120498486,0.055331430428046384,1
lime,channel,z850_18,pred_precip_mm,-0.06053296426897442,0.10908496639322035,1
lime,channel,z700_18,pred_precip_mm,-0.08895607538865025,0.14409830991499123,1
lime,channel,z500_18,pred_precip_mm,-0.1499790837815662,0.2641717899283124,1
lime,channel,z300_18,pred_precip_mm,-0.1693260696035688,0.33108035117475476,1
lime,channel,t1000_00,pred_precip_mm,0.02899003288312364,0.05535879724226449,1
lime,channel,t925_00,pred_precip_mm,0.040016863255573,0.0703683728523577,1
lime,channel,t850_00,pred_precip_mm,0.03082513707324413,0.05419595734596733,1
lime,channel,t700_00,pred_precip_mm,-0.06412550268897763,0.15255437645175696,1
lime,channel,t500_00,pred_precip_mm,-0.0004714598783031813,0.007234587880479208,1
lime,channel,t300_00,pred_precip_mm,0.05562886204672863,0.11042476451603182,1
lime,channel,t1000_06,pred_precip_mm,0.12567877525304147,0.2241318998722966,1
lime,channel,t925_06,pred_precip_mm,0.16159899317441323,0.2897600483799776,1
lime,channel,t850_06,pred_precip_mm,0.08330926511675348,0.1516737085749513,1
lime,channel,t700_06,pred_precip_mm,-0.019114237599433495,0.050165182085069905,1
lime,channel,t500_06,pred_precip_mm,-0.044178408665604324,0.0775947057318081,1
lime,channel,t300_06,pred_precip_mm,0.042851504851208894,0.11906823112175063,1
lime,channel,t1000_12,pred_precip_mm,-0.09196423444088157,0.14332664039278828,1
lime,channel,t925_12,pred_precip_mm,-0.06749756832298413,0.09927648269669027,1
lime,channel,t850_12,pred_precip_mm,-0.02240260758295228,0.0424533757832026,1
lime,channel,t700_12,pred_precip_mm,-0.05867858094264314,0.11607217155513647,1
lime,channel,t500_12,pred_precip_mm,-0.10419450651383125,0.20033282970443939,1
lime,channel,t300_12,pred_precip_mm,0.059324845909638296,0.15300103565589107,1
lime,channel,t1000_15,pred_precip_mm,-0.07833348617830334,0.12844858856065575,1
lime,channel,t925_15,pred_precip_mm,-0.07846216377507712,0.12803219711051833,1
lime,channel,t850_15,pred_precip_mm,-0.02983810075382443,0.03837190376741057,1
lime,channel,t700_15,pred_precip_mm,-0.09820718178628073,0.16921606067619957,1
lime,channel,t500_15,pred_precip_mm,-0.11731257196545203,0.25570716784914965,1
lime,channel,t300_15,pred_precip_mm,0.08389757356749711,0.19394554417810655,1
lime,channel,t1000_18,pred_precip_mm,-0.11010986584593355,0.1779827255653623,1
lime,channel,t925_18,pred_precip_mm,-0.1177623729633041,0.17902228885460444,1
lime,channel,t850_18,pred_precip_mm,-0.036096281374243026,0.0509578691744271,1
lime,channel,t700_18,pred_precip_mm,-0.16701650538131207,0.31214639322216686,1
lime,channel,t500_18,pred_precip_mm,-0.22651187609160228,0.4799215718198371,1
lime,channel,t300_18,pred_precip_mm,0.03145549688895189,0.09446065264672998,1
lime,channel,q1000_00,pred_precip_mm,0.04094898169636268,0.07450112391727408,1
lime,channel,q925_00,pred_precip_mm,-0.04320182906816097,0.0765816703404152,1
lime,channel,q850_00,pred_precip_mm,-0.049001053024482356,0.08813104447264684,1
lime,channel,q700_00,pred_precip_mm,0.0668244363999396,0.09797489272824234,1
lime,channel,q500_00,pred_precip_mm,0.0855482785476379,0.14250509358976862,1
lime,channel,q300_00,pred_precip_mm,0.09073552135340551,0.1525846813499459,1
lime,channel,q1000_06,pred_precip_mm,0.28793229698458855,0.5851243624822178,1
lime,channel,q925_06,pred_precip_mm,0.20463642979825647,0.3948692198208219,1
lime,channel,q850_06,pred_precip_mm,0.16321704366317347,0.30620816575446536,1
lime,channel,q700_06,pred_precip_mm,0.4118630522310115,0.7297633005339631,1
lime,channel,q500_06,pred_precip_mm,0.038917955462149406,0.0603921220599909,1
lime,channel,q300_06,pred_precip_mm,-0.03134185044384134,0.06350842467172381,1
lime,channel,q1000_12,pred_precip_mm,0.2145080270140784,0.38799207139398956,1
lime,channel,q925_12,pred_precip_mm,0.16149303483841868,0.3080464412625004,1
lime,channel,q850_12,pred_precip_mm,-0.010759488662884231,0.021644323710656787,1
lime,channel,q700_12,pred_precip_mm,0.2063708070712787,0.35796863348140534,1
lime,channel,q500_12,pred_precip_mm,-0.026815098857455377,0.044184369608415056,1
lime,channel,q300_12,pred_precip_mm,-0.01620930655306804,0.031199885876204987,1
lime,channel,q1000_15,pred_precip_mm,0.14720190161606284,0.2940756653294617,1
lime,channel,q925_15,pred_precip_mm,0.1288357636109022,0.24920047419041852,1
lime,channel,q850_15,pred_precip_mm,0.02202216971654353,0.031420461185502804,1
lime,channel,q700_15,pred_precip_mm,-0.007032363857150564,0.010266633877305663,1
lime,channel,q500_15,pred_precip_mm,0.0029785828291763214,0.009135563523084566,1
lime,channel,q300_15,pred_precip_mm,0.039944962094404145,0.06885209884015026,1
lime,channel,q1000_18,pred_precip_mm,0.13035982029028903,0.25249129336143394,1
lime,channel,q925_18,pred_precip_mm,0.12680492890352896,0.2584545615525896,1
lime,channel,q850_18,pred_precip_mm,0.20281492174090024,0.40073607790905025,1
lime,channel,q700_18,pred_precip_mm,0.3823970132376377,0.6794172060095862,1
lime,channel,q500_18,pred_precip_mm,-0.0706083023986922,0.11442148938934192,1
lime,channel,q300_18,pred_precip_mm,0.22882223415942568,0.40394484391366586,1
lime,channel,lat,pred_precip_mm,-0.015186334624809684,0.02208155888048724,1
lime,channel,lon,pred_precip_mm,-0.014890521615390142,0.01814454617180566,1
lime,channel,cos_time,pred_precip_mm,0.027249533852002253,0.033415894488762726,1
lime,channel,sin_time,pred_precip_mm,-0.1213441992767642,0.2809267852355876,1
lime,channel,elevation,pred_precip_mm,-0.02615615310278255,0.0450288078664024,1
lime,variable,variable=z,pred_precip_mm,-0.9469767048794724,1.7365364887401193,30
lime,variable,variable=t,pred_precip_mm,-0.7887001627307699,1.2857726951267192,30
