method,grouping,feature,metric,importance,std,n_channels
pfi,channel,z1000_00,pr_mae,0.10989642143249512,0.009871278847222852,1
pfi,channel,z1000_00,pr_nll,0.012137699127197176,0.001158759481722429,1
pfi,channel,z925_00,pr_mae,0.039944028854370116,0.009658335099306081,1
pfi,channel,z925_00,pr_nll,0.007151532173156605,0.001981327973244522,1
pfi,channel,z850_00,pr_mae,0.043520641326904294,0.013750849257729639,1
pfi,channel,z850_00,pr_nll,0.008464779853820747,0.0019683467340654856,1
pfi,channel,z700_00,pr_mae,0.002535438537597656,0.00582592063955398,1
pfi,channel,z700_00,pr_nll,0.005449728965759126,0.0027765449461265566,1
pfi,channel,z500_00,pr_mae,-0.023700952529907227,0.003545166397187473,1
pfi,channel,z500_00,pr_nll,0.002557473182678116,0.0014452133429002242,1
pfi,channel,z300_00,pr_mae,0.004584789276123047,0.0034844592641727103,1
pfi,channel,z300_00,pr_nll,0.0020452308654784535,0.0003470639015320021,1
pfi,channel,z1000_06,pr_mae,0.013095235824584961,0.003673245733633044,1
pfi,channel,z1000_06,pr_nll,0.0023152637481688833,0.0013926635997714447,1
pfi,channel,z925_06,pr_mae,0.035473299026489255,0.004890594287099546,1
pfi,channel,z925_06,pr_nll,0.004663958549499458,0.0012875055377227732,1
pfi,channel,z850_06,pr_mae,0.1551677703857422,0.02775706334217368,1
pfi,channel,z850_06,pr_nll,0.022459630966186417,0.0039894857500380075,1
pfi,channel,z700_06,pr_mae,0.02722940444946289,0.007237487022888602,1
pfi,channel,z700_06,pr_nll,0.01459462165832508,0.0014603211706637077,1
pfi,channel,z500_06,pr_mae,-0.01253337860107422,0.006372151356674176,1
pfi,channel,z500_06,pr_nll,0.0033545684814452414,0.000869607206040954,1
pfi,channel,z300_06,pr_mae,0.021952152252197266,0.0026271065345185585,1
pfi,channel,z300_06,pr_nll,0.004524006843566797,0.0007218267001650858,1
pfi,channel,z1000_12,pr_mae,0.08645753860473633,0.010532018115566368,1
pfi,channel,z1000_12,pr_nll,0.01539317131042477,0.0016667933689296114,1
pfi,channel,z925_12,pr_mae,0.05232205390930176,0.006641629098685622,1
pfi,channel,z925_12,pr_nll,0.006516342163085831,0.00041934170718000444,1
pfi,channel,z850_12,pr_mae,0.012590885162353516,0.00174527409226281,1
pfi,channel,z850_12,pr_nll,0.007662243843078587,0.0005833241259985279,1
pfi,channel,z700_12,pr_mae,-0.02162022590637207,0.01439887752292484,1
pfi,channel,z700_12,pr_nll,0.002209882736205948,0.0012929759945206534,1
pfi,channel,z500_12,pr_mae,0.006609916687011719,0.02282166759012404,1
pfi,channel,z500_12,pr_nll,0.0018430852890014115,0.0024893309801988926,1
pfi,channel,z300_12,pr_mae,0.041943025588989255,0.00636111872996478,1
pfi,channel,z300_12,pr_nll,0.0027472352981566584,0.0013106138303639104,1
pfi,channel,z1000_15,pr_mae,0.059170866012573244,0.01127321870523743,1
pfi,channel,z1000_15,pr_nll,0.013487148284911977,0.0016337938963787854,1
pfi,channel,z925_15,pr_mae,-0.02609224319458008,0.017835270060142745,1
pfi,channel,z925_15,pr_nll,0.008295431137084908,0.0055295700856229,1
pfi,channel,z850_15,pr_mae,-0.029369640350341796,0.02209042801884571,1
pfi,channel,z850_15,pr_nll,0.009420504570007182,0.0041165865594397335,1
pfi,channel,z700_15,pr_mae,-0.0025821208953857424,0.020770788117708706,1
pfi,channel,z700_15,pr_nll,0.00868450164794914,0.0013369147913205603,1
pfi,channel,z500_15,pr_mae,0.030491209030151366,0.012644146488000746,1
pfi,channel,z500_15,pr_nll,0.00975128173828117,0.0013153060704218756,1
pfi,channel,z300_15,pr_mae,0.06294589042663574,0.019426706580874715,1
pfi,channel,z300_15,pr_nll,0.009180374145507698,0.005077485533210859,1
pfi,channel,z1000_18,pr_mae,0.3488567352294922,0.021517714872893026,1
pfi,channel,z1000_18,pr_nll,0.03937326908111558,0.00693531544462226,1
pfi,channel,z925_18,pr_mae,-0.013707351684570313,0.012504668126533813,1
pfi,channel,z925_18,pr_nll,0.00941209316253655,0.004722207619528597,1
pfi,channel,z850_18,pr_mae,-0.009554147720336914,0.012191976116521081,1
pfi,channel,z850_18,pr_nll,0.01132534503936764,0.004484998719464696,1
pfi,channel,z700_18,pr_mae,0.01889338493347168,0.01944036071072754,1
pfi,channel,z700_18,pr_nll,0.017761068344116105,0.004382334359139286,1
pfi,channel,z500_18,pr_mae,0.11338977813720703,0.026194744307712223,1
pfi,channel,z500_18,pr_nll,0.02859705924987783,0.005217264315654024,1
pfi,channel,z300_18,pr_mae,0.14434118270874025,0.03505283045356877,1
pfi,channel,z300_18,pr_nll,0.03009351253509509,0.003848096633687267,1
pfi,channel,t1000_00,pr_mae,-0.020627164840698244,0.0028706454370372287,1
pfi,channel,t1000_00,pr_nll,0.006810269355773846,0.0012168990935183747,1
pfi,channel,t925_00,pr_mae,-0.023156261444091795,0.004349612244052203,1
pfi,channel,t925_00,pr_nll,0.006217327117919824,0.0008430746718894981,1
pfi,channel,t850_00,pr_mae,-0.027397012710571288,0.0056883736464274325,1
pfi,channel,t850_00,pr_nll,0.0069183635711668415,0.0010050304636540542,1
pfi,channel,t700_00,pr_mae,0.07045164108276367,0.018622519751723805,1
pfi,channel,t700_00,pr_nll,0.012432007789611755,0.002961102996576159,1
pfi,channel,t500_00,pr_mae,0.006932878494262695,0.003620900374458054,1
pfi,channel,t500_00,pr_nll,0.00029249191284175247,0.0004817520761368181,1
pfi,channel,t300_00,pr_mae,-0.009952068328857422,0.011585027699823726,1
pfi,channel,t300_00,pr_nll,0.0011287689208983487,0.0012290325257274274,1
pfi,channel,t1000_06,pr_mae,0.06516990661621094,0.0098173762305687,1
pfi,channel,t1000_06,pr_nll,0.03805109024047848,0.008566292340997008,1
pfi,channel,t925_06,pr_mae,0.07189173698425293,0.024926527114803643,1
pfi,channel,t925_06,pr_nll,0.04332913398742666,0.0038667335288925884,1
pfi,channel,t850_06,pr_mae,0.016488122940063476,0.01663645267111476,1
pfi,channel,t850_06,pr_nll,0.030761952400207404,0.0026756900030921803,1
pfi,channel,t700_06,pr_mae,0.013313484191894532,0.007460352689420507,1
pfi,channel,t700_06,pr_nll,0.009619183540344124,0.0019858127033509252,1
pfi,channel,t500_06,pr_mae,0.03824172019958496,0.006027144409315128,1
pfi,channel,t500_06,pr_nll,0.0015799188613890625,0.0010548401830571402,1
pfi,channel,t300_06,pr_mae,0.008121728897094727,0.003242234342466085,1
pfi,channel,t300_06,pr_nll,0.0016657686233520152,0.0013534198250553578,1
pfi,channel,t1000_12,pr_mae,0.08785881996154785,0.028071298216166617,1
pfi,channel,t1000_12,pr_nll,0.018152956962585388,0.004626184427033592,1
pfi,channel,t925_12,pr_mae,0.07661800384521485,0.03304000451266525,1
pfi,channel,t925_12,pr_nll,0.019409756660461363,0.0051970122024285964,1
pfi,channel,t850_12,pr_mae,0.006915140151977539,0.0075865851565116455,1
pfi,channel,t850_12,pr_nll,0.005587086677551189,0.0013871606456064714,1
pfi,channel,t700_12,pr_mae,0.04480576515197754,0.01574281251988369,1
pfi,channel,t700_12,pr_nll,0.010430121421813831,0.0030696484738552254,1
pfi,channel,t500_12,pr_mae,0.10310711860656738,0.017612341374894213,1
pfi,channel,t500_12,pr_nll,0.011733760833740137,0.00359460004086248,1
pfi,channel,t300_12,pr_mae,0.020974397659301758,0.006137758405716371,1
pfi,channel,t300_12,pr_nll,0.0038981389999389383,0.0009789146065740113,1
pfi,channel,t1000_15,pr_mae,0.11381936073303223,0.029236488598190592,1
pfi,channel,t1000_15,pr_nll,0.020628223419189372,0.004179015186884645,1
pfi,channel,t925_15,pr_mae,0.056869125366210936,0.025532025232253407,1
pfi,channel,t925_15,pr_nll,0.01588991641998283,0.0035017437785168906,1
pfi,channel,t850_15,pr_mae,0.0038247108459472656,0.013336592833874929,1
pfi,channel,t850_15,pr_nll,0.004238839149475071,0.001529492889349862,1
pfi,channel,t700_15,pr_mae,0.09270367622375489,0.030464475142549786,1
pfi,channel,t700_15,pr_nll,0.010870499610900808,0.0027827542678483534,1
pfi,channel,t500_15,pr_mae,0.1734755039215088,0.030473725165037404,1
