method,grouping,feature,metric,importance,std,n_channels
lime,channel,z1000_00,pred_precip_mm,-0.08618895928067233,0.18346896322005377,1
lime,channel,z925_00,pred_precip_mm,-0.07987914224127636,0.1429002546513715,1
lime,channel,z850_00,pred_precip_mm,0.03056865562620816,0.2446104989040871,1
lime,channel,z700_00,pred_precip_mm,0.08136233093937176,0.18740562354943,1
lime,channel,z500_00,pred_precip_mm,0.10541887298550187,0.19835434948670608,1
lime,channel,z300_00,pred_precip_mm,0.016405591836503582,0.08191347736196558,1
lime,channel,z1000_06,pred_precip_mm,-0.0012658476980968343,0.07504829375500813,1
lime,channel,z925_06,pred_precip_mm,-0.07167294096646452,0.1049177491462982,1
lime,channel,z850_06,pred_precip_mm,-0.11984024808870813,0.37518195578473157,1
lime,channel,z700_06,pred_precip_mm,0.009611567338554975,0.3323010854915413,1
lime,channel,z500_06,pred_precip_mm,0.12887720663114405,0.20895818567836735,1
lime,channel,z300_06,pred_precip_mm,-0.005432638875104399,0.04778830317202985,1
lime,channel,z1000_12,pred_precip_mm,-0.0764192431294566,0.06461221715479809,1
lime,channel,z925_12,pred_precip_mm,-0.011869295205293534,0.0796792645914145,1
lime,channel,z850_12,pred_precip_mm,-0.058018069951403184,0.10079808252789776,1
lime,channel,z700_12,pred_precip_mm,0.08859359437714004,0.17556887850295858,1
lime,channel,z500_12,pred_precip_mm,0.053581044549423966,0.32627827010482724,1
lime,channel,z300_12,pred_precip_mm,-0.045761711554528656,0.18146911182786102,1
lime,channel,z1000_15,pred_precip_mm,0.10716096631637481,0.11241203570030057,1
lime,channel,z925_15,pred_precip_mm,0.18096049960952443,0.4149480327475672,1
lime,channel,z850_15,pred_precip_mm,0.23095424548154692,0.4673161271160232,1
lime,channel,z700_15,pred_precip_mm,0.065193251290447,0.41982993774300226,1
lime,channel,z500_15,pred_precip_mm,0.026243172496948235,0.4230532548485751,1
lime,channel,z300_15,pred_precip_mm,-0.019745123702970744,0.4837935174971865,1
lime,channel,z1000_18,pred_precip_mm,-0.3008950781628968,0.5614120957858759,1
lime,channel,z925_18,pred_precip_mm,0.23432495933823894,0.5201181764871601,1
lime,channel,z850_18,pred_precip_mm,0.06742195515262911,0.567315392304233,1
lime,channel,z700_18,pred_precip_mm,0.06734161835505145,0.7046339914044099,1
lime,channel,z500_18,pred_precip_mm,0.0020837882809615297,0.7954834050747879,1
lime,channel,z300_18,pred_precip_mm,-0.08614990530361974,0.8838663822017128,1
lime,channel,t1000_00,pred_precip_mm,0.08316530890665177,0.06476687446125654,1
lime,channel,t925_00,pred_precip_mm,0.0514699538659971,0.0811242247846317,1
lime,channel,t850_00,pred_precip_mm,0.062707824101385,0.17850466270946896,1
lime,channel,t700_00,pred_precip_mm,0.036938377339925735,0.4103132040875689,1
lime,channel,t500_00,pred_precip_mm,0.04542181014600963,0.04987870925754925,1
lime,channel,t300_00,pred_precip_mm,0.005144616440645291,0.2575817031341596,1
lime,channel,t1000_06,pred_precip_mm,0.2322622947998465,0.6719442036830017,1
lime,channel,t925_06,pred_precip_mm,0.2942405635826332,0.8568626266429131,1
lime,channel,t850_06,pred_precip_mm,0.19525070408084233,0.5357519509807196,1
lime,channel,t700_06,pred_precip_mm,0.12778075490713328,0.34073199568244567,1
lime,channel,t500_06,pred_precip_mm,-0.08477664231892372,0.0838514798681246,1
lime,channel,t300_06,pred_precip_mm,-0.054172539817470264,0.22089796741074696,1
lime,channel,t1000_12,pred_precip_mm,-0.06984163386018087,0.46042093773314663,1
