method,grouping,feature,metric,importance,std,n_channels
pfi,channel,z1000_00,pr_mae,0.15821642875671388,0.023303854021859135,1
pfi,channel,z1000_00,pr_nll,0.025213098526000975,0.0037409924354668365,1
pfi,channel,z925_00,pr_mae,0.07181291580200196,0.004538794899101238,1
pfi,channel,z925_00,pr_nll,0.01142026901245119,0.0037539911600633843,1
pfi,channel,z850_00,pr_mae,0.052863264083862306,0.014624192311583769,1
pfi,channel,z850_00,pr_nll,0.008855915069580078,0.002079627531268255,1
pfi,channel,z700_00,pr_mae,-0.015128374099731445,0.010502619726589578,1
pfi,channel,z700_00,pr_nll,-0.0012374925613403143,0.00232653878395699,1
pfi,channel,z500_00,pr_mae,-0.013425683975219727,0.011938965558925272,1
pfi,channel,z500_00,pr_nll,0.0026301527023315785,0.0013533736825704003,1
pfi,channel,z300_00,pr_mae,0.010763025283813477,0.003002152405786973,1
pfi,channel,z300_00,pr_nll,0.003129835128784153,0.0005885241916377817,1
pfi,channel,z1000_06,pr_mae,0.02904677391052246,0.003745129713998385,1
pfi,channel,z1000_06,pr_nll,0.006609535217285201,0.0012379715760390568,1
pfi,channel,z925_06,pr_mae,0.053074884414672854,0.007244382757288369,1
pfi,channel,z925_06,pr_nll,0.006855077743530291,0.0012912534384951423,1
pfi,channel,z850_06,pr_mae,0.1965791702270508,0.02268073527849015,1
pfi,channel,z850_06,pr_nll,0.03876033306121829,0.0047804390153623495,1
pfi,channel,z700_06,pr_mae,0.031155920028686522,0.012421958003722677,1
pfi,channel,z700_06,pr_nll,0.013256158828735386,0.0019527470972105158,1
pfi,channel,z500_06,pr_mae,-0.00026950836181640627,0.006529650970072365,1
pfi,channel,z500_06,pr_nll,0.0047313547134399505,0.0008738908136068951,1
pfi,channel,z300_06,pr_mae,0.02414050102233887,0.0030813352001004962,1
pfi,channel,z300_06,pr_nll,0.005473208427429199,0.000864284642408296,1
pfi,channel,z1000_12,pr_mae,0.14168529510498046,0.014795004385185844,1
pfi,channel,z1000_12,pr_nll,0.02472019195556636,0.0021318306995157217,1
pfi,channel,z925_12,pr_mae,0.07752203941345215,0.009092354486861867,1
pfi,channel,z925_12,pr_nll,0.009833574295043945,0.0008267260797041934,1
pfi,channel,z850_12,pr_mae,0.011552000045776367,0.002272162645337903,1
pfi,channel,z850_12,pr_nll,0.00636406898498536,0.0008478720418803937,1
pfi,channel,z700_12,pr_mae,-0.03112940788269043,0.019022862296456243,1
pfi,channel,z700_12,pr_nll,0.003970646858215332,0.0029204216641987237,1
pfi,channel,z500_12,pr_mae,0.03985342979431152,0.024235707232520595,1
pfi,channel,z500_12,pr_nll,0.009334793090820349,0.0014828442694683548,1
pfi,channel,z300_12,pr_mae,0.07244038581848145,0.011437862705676346,1
pfi,channel,z300_12,pr_nll,0.009197416305541984,0.0017350497402410451,1
pfi,channel,z1000_15,pr_mae,0.07604770660400391,0.00698928608831591,1
pfi,channel,z1000_15,pr_nll,0.01849116802215578,0.0017927881153016836,1
pfi,channel,z925_15,pr_mae,-0.06794500350952148,0.0217995769487262,1
pfi,channel,z925_15,pr_nll,-0.0006763410568237926,0.002201152739757015,1
pfi,channel,z850_15,pr_mae,-0.08306412696838379,0.025076837377537152,1
pfi,channel,z850_15,pr_nll,0.008486776351928692,0.002809245537070878,1
pfi,channel,z700_15,pr_mae,-0.010215425491333007,0.016534512121807336,1
pfi,channel,z700_15,pr_nll,0.014202175140380868,0.0033425580295370974,1
pfi,channel,z500_15,pr_mae,0.05751080513000488,0.0413769312602416,1
pfi,channel,z500_15,pr_nll,0.02088374614715578,0.003927451658849198,1
pfi,channel,z300_15,pr_mae,0.12469229698181153,0.015546255714857965,1
pfi,channel,z300_15,pr_nll,0.023490252494812004,0.004727485751176577,1
pfi,channel,z1000_18,pr_mae,0.6982792377471924,0.044964759125547295,1
pfi,channel,z1000_18,pr_nll,0.08503169059753417,0.00705729486638119,1
pfi,channel,z925_18,pr_mae,-0.08018913269042968,0.023849975142836866,1
pfi,channel,z925_18,pr_nll,0.0035701179504394887,0.002914476767433694,1
pfi,channel,z850_18,pr_mae,-0.07526240348815919,0.024061051914059745,1
pfi,channel,z850_18,pr_nll,0.004998216629028373,0.005950104804684436,1
pfi,channel,z700_18,pr_mae,0.01323089599609375,0.02918339028015168,1
pfi,channel,z700_18,pr_nll,0.027587523460388175,0.007445755211135216,1
pfi,channel,z500_18,pr_mae,0.21184091567993163,0.039608579214653904,1
pfi,channel,z500_18,pr_nll,0.05333904743194582,0.005970817648904792,1
pfi,channel,z300_18,pr_mae,0.3414278507232666,0.04154291207850541,1
pfi,channel,z300_18,pr_nll,0.07343127727508544,0.007251150981206469,1
pfi,channel,t1000_00,pr_mae,-0.0400270938873291,0.010941011437963524,1
