method,grouping,feature,metric,importance,std,n_channels
lime,channel,z1000_00,pred_precip_mm,-0.012989976594180021,0.04039166397340841,1
lime,channel,z925_00,pred_precip_mm,0.0012310593328888513,0.014239212041138078,1
lime,channel,z850_00,pred_precip_mm,0.034775832553353835,0.05727854231224262,1
lime,channel,z700_00,pred_precip_mm,0.01701024002347605,0.042312211719745835,1
lime,channel,z500_00,pred_precip_mm,-0.010040901142239373,0.028122445222610978,1
lime,channel,z300_00,pred_precip_mm,-0.016190821585441426,0.03166835489498135,1
lime,channel,z1000_06,pred_precip_mm,-0.003907372070788026,0.013768183884755206,1
lime,channel,z925_06,pred_precip_mm,-0.006486770718184048,0.023176745885445098,1
lime,channel,z850_06,pred_precip_mm,0.02473699306500749,0.053563306604184235,1
lime,channel,z700_06,pred_precip_mm,0.03704413582392644,0.07426539825515761,1
lime,channel,z500_06,pred_precip_mm,-0.011579661083178523,0.029278969896775503,1
lime,channel,z300_06,pred_precip_mm,-0.02660237290859313,0.03789032293088792,1
lime,channel,z1000_12,pred_precip_mm,-0.007890275140565901,0.022480208027838487,1
lime,channel,z925_12,pred_precip_mm,0.021194272156518763,0.030758129977113646,1
lime,channel,z850_12,pred_precip_mm,-0.04386115778026615,0.0707594147908501,1
lime,channel,z700_12,pred_precip_mm,-0.02731554666319156,0.03540148292990665,1
lime,channel,z500_12,pred_precip_mm,-0.06644926851321192,0.1192213265425614,1
lime,channel,z300_12,pred_precip_mm,-0.06389001670492546,0.1199214733426875,1
lime,channel,z1000_15,pred_precip_mm,0.01697222336565869,0.032660007171644655,1
lime,channel,z925_15,pred_precip_mm,-0.013861092912469373,0.060752790439802674,1
lime,channel,z850_15,pred_precip_mm,-0.0320645864914229,0.07142860648458287,1
lime,channel,z700_15,pred_precip_mm,-0.061578293980076096,0.10228162142050967,1
lime,channel,z500_15,pred_precip_mm,-0.05947730104053188,0.11250648893162965,1
lime,channel,z300_15,pred_precip_mm,-0.08726274775036674,0.1736980970101242,1
lime,channel,z1000_18,pred_precip_mm,-0.0347695761033574,0.06896961195840298,1
lime,channel,z925_18,pred_precip_mm,-0.012223680830701073,0.05885059638260285,1
lime,channel,z850_18,pred_precip_mm,-0.05836446463807746,0.10533738105875995,1
lime,channel,z700_18,pred_precip_mm,-0.08682216026212902,0.13906387989655158,1
lime,channel,z500_18,pred_precip_mm,-0.14383942667783833,0.25419059788578185,1
lime,channel,z300_18,pred_precip_mm,-0.16352718375885875,0.32701312236387614,1
lime,channel,t1000_00,pred_precip_mm,0.02299544467253348,0.0443596321577764,1
lime,channel,t925_00,pred_precip_mm,0.03154608753168105,0.05471716545602621,1
lime,channel,t850_00,pred_precip_mm,0.024697034054279518,0.04496043136277564,1
lime,channel,t700_00,pred_precip_mm,-0.05897647823275889,0.1476051735640763,1
lime,channel,t500_00,pred_precip_mm,-0.0007740032811982274,0.004759675735048291,1
lime,channel,t300_00,pred_precip_mm,0.05214231577076027,0.10814946641010831,1
lime,channel,t1000_06,pred_precip_mm,0.11808913902463229,0.21233749712287686,1
lime,channel,t925_06,pred_precip_mm,0.15835705647659415,0.2841501461381258,1
lime,channel,t850_06,pred_precip_mm,0.08659129644727555,0.15772763562443387,1
lime,channel,t700_06,pred_precip_mm,-0.01778046091807444,0.0494224336307215,1
lime,channel,t500_06,pred_precip_mm,-0.042991305676602115,0.0740459678875509,1
lime,channel,t300_06,pred_precip_mm,0.04012065745900167,0.11694186137435487,1
lime,channel,t1000_12,pred_precip_mm,-0.08688623548531486,0.13338480005131848,1
lime,channel,t925_12,pred_precip_mm,-0.06691455369315583,0.09874571944078475,1
