method,grouping,feature,metric,importance,std,n_channels
pfi,channel,z1000_00,pr_mae,0.08020253181457519,0.0101944741300907,1
pfi,channel,z1000_00,pr_nll,0.013758468627929598,0.001593565626848784,1
pfi,channel,z925_00,pr_mae,0.03248796463012695,0.009566508463731471,1
pfi,channel,z925_00,pr_nll,0.008577203750610263,0.002515872370717124,1
pfi,channel,z850_00,pr_mae,0.05228919982910156,0.013692052125391829,1
pfi,channel,z850_00,pr_nll,0.017923369407653666,0.0027422344135199987,1
pfi,channel,z700_00,pr_mae,0.008195781707763672,0.005256867645723131,1
pfi,channel,z700_00,pr_nll,0.012121191024780176,0.004077807855936903,1
pfi,channel,z500_00,pr_mae,-0.018936824798583985,0.0025589640910970404,1
pfi,channel,z500_00,pr_nll,0.006627359390258691,0.0014038358482437972,1
pfi,channel,z300_00,pr_mae,0.000136566162109375,0.0038344223900353695,1
pfi,channel,z300_00,pr_nll,0.0021237134933471237,0.0005289474412503979,1
pfi,channel,z1000_06,pr_mae,0.02870626449584961,0.005790497691281823,1
pfi,channel,z1000_06,pr_nll,0.007677102088928178,0.0022426245640662533,1
pfi,channel,z925_06,pr_mae,0.034926843643188474,0.005071968695705697,1
pfi,channel,z925_06,pr_nll,0.008478593826293901,0.001605987149505315,1
pfi,channel,z850_06,pr_mae,0.12529411315917968,0.023538318130961387,1
pfi,channel,z850_06,pr_nll,0.024987926483154198,0.004756199583908493,1
pfi,channel,z700_06,pr_mae,0.022083091735839843,0.005551108292617889,1
pfi,channel,z700_06,pr_nll,0.012958264350891025,0.0015501370124070622,1
pfi,channel,z500_06,pr_mae,-0.014265346527099609,0.0056286080159447865,1
pfi,channel,z500_06,pr_nll,0.003855009078979377,0.001125241463704519,1
pfi,channel,z300_06,pr_mae,0.01503448486328125,0.002270943393347748,1
pfi,channel,z300_06,pr_nll,0.0010267639160155273,0.0007127247349154817,1
pfi,channel,z1000_12,pr_mae,0.06438541412353516,0.008366468716123702,1
pfi,channel,z1000_12,pr_nll,0.016193127632141025,0.0017439405547731983,1
