Fold,Mean absolute error,Pearson correlation,Spearman correlation,Epoch,train NLL,test NLL,test CRPS
0,2.4865646362304688,0.7257917523384094,0.8267350124090815,0,1.6879818439483645,1.769637107849121,1.769636631011963
0,2.638584613800049,0.7262609004974365,0.8232045676187594,1,1.6496057391166687,1.81044602394104,1.8107811212539675
0,2.413216114044189,0.7262383103370667,0.8230308589872479,2,1.9694416522979736,1.774019718170166,1.7741299867630005
0,2.464046001434326,0.7219351530075073,0.8246715281469628,3,1.1953607678413392,1.7852106094360352,1.7851808071136477
1,2.861336469650269,0.6492537260055542,0.7998653003974718,0,1.2884736601263285,2.2534868717193604,2.2535417079925537
1,2.922645568847656,0.6428018808364868,0.8028811865413172,1,2.7824167251586918,2.211364984512329,2.2114319801330566
1,2.925889015197754,0.6518642902374268,0.8001974579511801,2,1.712769055366516,2.204355478286743,2.204599142074585
1,2.8503401279449463,0.657645583152771,0.8043551513836444,3,1.845683157444,2.186126232147217,2.1863958835601807
1,2.961022138595581,0.6524178385734558,0.8057381885632385,4,2.415200018882752,2.16568922996521,2.1654231548309326
1,2.8922228813171387,0.6514113545417786,0.806060249000398,5,2.0451186537742614,2.1756372451782227,2.175614356994629
1,2.823449850082397,0.6611667275428772,0.8017143263207528,6,1.258688318729401,2.2574851512908936,2.25724720954895
1,2.954864978790283,0.6601294279098511,0.8043514608277733,7,1.4881308197975158,2.1684727668762207,2.1683385372161865
2,2.1258656978607178,0.6907970905303955,0.7831131994375505,0,1.7525857254862784,1.3924567699432373,1.3925025463104248
2,1.8334465026855469,0.6924532055854797,0.7820114140316726,1,1.5153577074641362,1.3040517568588257,1.303890347480774
2,1.852919101715088,0.6912582516670227,0.7816928599139654,2,0.8782987059443258,1.3102822303771973,1.3105462789535522
2,1.8926918506622317,0.6953690648078918,0.7818691218997832,3,1.579664945602417,1.314306616783142,1.3143494129180908
2,1.8648737668991089,0.6856577396392822,0.7784050026220414,4,1.625927448272705,1.3246381282806396,1.3248255252838137
3,2.5620267391204834,0.615869402885437,0.7823813770085227,0,1.9703256552107635,1.805099606513977,1.80531644821167
3,2.48337721824646,0.619419276714325,0.7841915130528864,1,1.327836997061968,1.7910398244857788,1.7904614210128784
3,2.5041182041168213,0.6242586374282837,0.785013297528686,2,1.8767666578292848,1.7919209003448486,1.7921160459518433
3,2.498952865600586,0.6275032758712769,0.7865865692889371,3,1.2564633071422575,1.7915306091308594,1.7911782264709473
3,2.4930648803710938,0.6232141852378845,0.7868355381953285,4,2.998705357313156,1.7949035167694092,1.794546127319336
4,2.817512989044189,0.7446091175079346,0.8141747287251333,0,1.6456929445266724,2.1354193687438965,2.135467529296875
4,2.825636625289917,0.7421821355819702,0.8144532299061431,1,1.4131599187850952,2.1371829509735107,2.136728525161743
4,3.0138540267944336,0.741771936416626,0.812126226106647,2,1.713986945152283,2.143426418304444,2.143615961074829
4,3.010899782180786,0.743666410446167,0.8062458935712309,3,1.512674367427826,2.136237859725952,2.136634111404419
