method,grouping,feature,metric,importance,std,n_channels
lime,channel,z1000_00,pred_precip_mm,-0.01151974482264696,0.023836144944679342,1
lime,channel,z925_00,pred_precip_mm,0.003392536269938317,0.016277572262523063,1
lime,channel,z850_00,pred_precip_mm,0.03833534040680741,0.06810591842288505,1
lime,channel,z700_00,pred_precip_mm,0.021645417093432612,0.04924060833862753,1
lime,channel,z500_00,pred_precip_mm,0.011071614857804071,0.02371748866641234,1
lime,channel,z300_00,pred_precip_mm,0.013683803684331485,0.02472301245147959,1
lime,channel,z1000_06,pred_precip_mm,-0.0009450629332843681,0.010811145817057844,1
lime,channel,z925_06,pred_precip_mm,-0.01190034828167044,0.020901828235352093,1
lime,channel,z850_06,pred_precip_mm,0.0076386631054799784,0.018555115646152795,1
lime,channel,z700_06,pred_precip_mm,0.021051725892478827,0.03563441874359118,1
lime,channel,z500_06,pred_precip_mm,-0.009913702294463351,0.023806063878059454,1
lime,channel,z300_06,pred_precip_mm,0.0025848110427084217,0.017455884076023713,1
lime,channel,z1000_12,pred_precip_mm,-0.007029578637458213,0.018808600765117582,1
lime,channel,z925_12,pred_precip_mm,0.009404402385994133,0.007593391619646813,1
lime,channel,z850_12,pred_precip_mm,-0.01864963937599129,0.023873699236081777,1
lime,channel,z700_12,pred_precip_mm,-0.03269793177832157,0.05777867359181557,1
lime,channel,z500_12,pred_precip_mm,-0.04133142249975245,0.07927665349870343,1
lime,channel,z300_12,pred_precip_mm,-0.05492788655738872,0.09950623444453714,1
lime,channel,z1000_15,pred_precip_mm,0.011538370631185072,0.01262289789554745,1
lime,channel,z925_15,pred_precip_mm,-0.001177068240034359,0.03668114188276664,1
lime,channel,z850_15,pred_precip_mm,-0.025338111782161873,0.06582152528507237,1
lime,channel,z700_15,pred_precip_mm,-0.045007938758324165,0.0822558200681891,1
lime,channel,z500_15,pred_precip_mm,-0.056499650401929155,0.11454834013707697,1
lime,channel,z300_15,pred_precip_mm,-0.06440611689497693,0.12662399629585402,1
lime,channel,z1000_18,pred_precip_mm,-0.005295029461637178,0.014514502638505912,1
lime,channel,z925_18,pred_precip_mm,-0.002975091843087973,0.0334591093207853,1
lime,channel,z850_18,pred_precip_mm,-0.03804897861212511,0.08420907265260255,1
lime,channel,z700_18,pred_precip_mm,-0.06094490338834148,0.10420725721913772,1
lime,channel,z500_18,pred_precip_mm,-0.09693762371003434,0.17785734550817112,1
lime,channel,z300_18,pred_precip_mm,-0.10781140177080879,0.21816788167909695,1
lime,channel,t1000_00,pred_precip_mm,0.05353258456074529,0.0981456213783651,1
lime,channel,t925_00,pred_precip_mm,0.05256900619857173,0.09686873009382183,1
lime,channel,t850_00,pred_precip_mm,0.031007991501520175,0.056290547904033594,1
lime,channel,t700_00,pred_precip_mm,-0.03657792390579048,0.09251450315106884,1
lime,channel,t500_00,pred_precip_mm,-0.004634107776411127,0.006574315918128987,1
lime,channel,t300_00,pred_precip_mm,0.037528485986083215,0.08964363904913097,1
lime,channel,t1000_06,pred_precip_mm,0.0860410478921209,0.14148192821904013,1
lime,channel,t925_06,pred_precip_mm,0.1001691621807523,0.17293495495127348,1
lime,channel,t850_06,pred_precip_mm,0.04602685673981632,0.0798132551020682,1
lime,channel,t700_06,pred_precip_mm,-0.013678885316116758,0.034612485302787606,1
lime,channel,t500_06,pred_precip_mm,-0.019726604415548375,0.02955241705624994,1
lime,channel,t300_06,pred_precip_mm,0.038678491124358894,0.11424178998818191,1
lime,channel,t1000_12,pred_precip_mm,-0.055022260368819076,0.0787906371293447,1
lime,channel,t925_12,pred_precip_mm,-0.05669263473216253,0.07715168777435308,1
lime,channel,t850_12,pred_precip_mm,-0.04651796270505284,0.06500323203499496,1
lime,channel,t700_12,pred_precip_mm,-0.03317989640002388,0.06860034946692903,1
lime,channel,t500_12,pred_precip_mm,-0.09622297604282681,0.1903308023943662,1
lime,channel,t300_12,pred_precip_mm,0.05091846523439752,0.13015306535475332,1
lime,channel,t1000_15,pred_precip_mm,-0.0611310312552167,0.0968728748877384,1
lime,channel,t925_15,pred_precip_mm,-0.05655766643904968,0.09274861927914603,1
lime,channel,t850_15,pred_precip_mm,-0.043313502236923235,0.06243119115730022,1
lime,channel,t700_15,pred_precip_mm,-0.07673113562991289,0.13860919638055821,1
lime,channel,t500_15,pred_precip_mm,-0.10020936235409926,0.21645242645690624,1
lime,channel,t300_15,pred_precip_mm,0.0529833040650689,0.1561797352790083,1
lime,channel,t1000_18,pred_precip_mm,-0.08789915124675961,0.13504612414969544,1
lime,channel,t925_18,pred_precip_mm,-0.0939200559353257,0.13962114567134937,1
lime,channel,t850_18,pred_precip_mm,-0.051739094710604505,0.06726582438412701,1
lime,channel,t700_18,pred_precip_mm,-0.11271622738866702,0.2239192967037464,1
lime,channel,t500_18,pred_precip_mm,-0.14916551418637727,0.3334813472722787,1
lime,channel,t300_18,pred_precip_mm,-0.03353080082349143,0.0655276194240891,1
lime,channel,q1000_00,pred_precip_mm,0.04188099276913757,0.07376597403847711,1
