method,grouping,feature,metric,importance,std,n_channels
lime,channel,z1000_00,pred_precip_mm,-0.06712109784560977,0.12337921220241167,1
lime,channel,z925_00,pred_precip_mm,-0.07878382707248893,0.12126386238553354,1
lime,channel,z850_00,pred_precip_mm,-0.027397374623565316,0.23069456109949948,1
lime,channel,z700_00,pred_precip_mm,0.02364975172947786,0.1331352145873478,1
lime,channel,z500_00,pred_precip_mm,0.052413930758398106,0.05276949399975645,1
lime,channel,z300_00,pred_precip_mm,0.02944707823259439,0.03247223200275235,1
lime,channel,z1000_06,pred_precip_mm,0.03546013571458603,0.07997274890021032,1
lime,channel,z925_06,pred_precip_mm,-0.016187532793369878,0.02920276008957844,1
lime,channel,z850_06,pred_precip_mm,-0.057223997241293546,0.11494639757117425,1
lime,channel,z700_06,pred_precip_mm,0.009869810363687358,0.08836944833910342,1
lime,channel,z500_06,pred_precip_mm,0.053472799834797316,0.13403064826173275,1
lime,channel,z300_06,pred_precip_mm,0.01142329371022178,0.06751030335894953,1
lime,channel,z1000_12,pred_precip_mm,-0.09723150631209862,0.08213615131767986,1
lime,channel,z925_12,pred_precip_mm,-0.01752844094990674,0.023550640060690024,1
lime,channel,z850_12,pred_precip_mm,-0.03136047035222144,0.026978118153695475,1
lime,channel,z700_12,pred_precip_mm,0.04681427709558018,0.19113296146746528,1
lime,channel,z500_12,pred_precip_mm,0.045383235921530776,0.22220100017209043,1
lime,channel,z300_12,pred_precip_mm,-0.027807971603394127,0.14124936054491224,1
lime,channel,z1000_15,pred_precip_mm,0.06269280426131597,0.04694168604525639,1
lime,channel,z925_15,pred_precip_mm,0.1063834682717503,0.2271598541951411,1
lime,channel,z850_15,pred_precip_mm,0.17451241165321327,0.2998104396661456,1
lime,channel,z700_15,pred_precip_mm,0.05352554191757791,0.30190325862732903,1
lime,channel,z500_15,pred_precip_mm,0.03166416240615589,0.38019750517202244,1
lime,channel,z300_15,pred_precip_mm,-0.016561995938390972,0.2986548094619571,1
lime,channel,z1000_18,pred_precip_mm,-0.07667390609603289,0.1015433912155449,1
lime,channel,z925_18,pred_precip_mm,0.11099880173504986,0.2009140586535411,1
lime,channel,z850_18,pred_precip_mm,0.08519249839232562,0.352572184238553,1
lime,channel,z700_18,pred_precip_mm,0.07168673211829325,0.40022525016865795,1
lime,channel,z500_18,pred_precip_mm,0.03698757601453771,0.4889463170285198,1
lime,channel,z300_18,pred_precip_mm,-0.028936867917511513,0.4703188884305182,1
lime,channel,t1000_00,pred_precip_mm,0.1142211916439704,0.18490858517641467,1
lime,channel,t925_00,pred_precip_mm,0.08011709715108048,0.20909313751340874,1
lime,channel,t850_00,pred_precip_mm,0.05927681404343127,0.11557864496716089,1
lime,channel,t700_00,pred_precip_mm,0.050949923231871704,0.2853548734024572,1
lime,channel,t500_00,pred_precip_mm,-0.00733851166462051,0.01133924173831165,1
lime,channel,t300_00,pred_precip_mm,-0.02410803426441862,0.19263780957842697,1
lime,channel,t1000_06,pred_precip_mm,0.1469458391178212,0.3533731701541224,1
lime,channel,t925_06,pred_precip_mm,0.15867230666693644,0.44001903493500455,1
lime,channel,t850_06,pred_precip_mm,0.08820377378621518,0.20893457598162637,1
lime,channel,t700_06,pred_precip_mm,0.05341084912203373,0.18471356756121016,1
lime,channel,t500_06,pred_precip_mm,-0.04556925369200179,0.04989944244992618,1
lime,channel,t300_06,pred_precip_mm,-0.06244907826106781,0.17342295941029606,1
lime,channel,t1000_12,pred_precip_mm,-0.04594304162842074,0.29123359731669957,1
lime,channel,t925_12,pred_precip_mm,-0.055747157974524786,0.394424302101457,1
lime,channel,t850_12,pred_precip_mm,-0.029853204069979575,0.25347613519819207,1
lime,channel,t700_12,pred_precip_mm,0.04002404468772572,0.28729119120185936,1
lime,channel,t500_12,pred_precip_mm,-0.05835114933608009,0.32387492622917446,1
lime,channel,t300_12,pred_precip_mm,-0.11064103180837638,0.23301433516418774,1
lime,channel,t1000_15,pred_precip_mm,-0.0273504329864933,0.38448542437130395,1
lime,channel,t925_15,pred_precip_mm,-0.034574117301565115,0.3761402172404357,1
lime,channel,t850_15,pred_precip_mm,0.003121205554362742,0.22160102736121745,1
lime,channel,t700_15,pred_precip_mm,-0.029695934076502492,0.43386485016991605,1
lime,channel,t500_15,pred_precip_mm,-0.025732300877098116,0.3817401557276059,1
lime,channel,t300_15,pred_precip_mm,-0.17773056155875253,0.3210277982220487,1
lime,channel,t1000_18,pred_precip_mm,-0.10723452120090704,0.4213966659874239,1
lime,channel,t925_18,pred_precip_mm,-0.09194618885426202,0.4437086616937322,1
lime,channel,t850_18,pred_precip_mm,-0.04806043694000624,0.3541044268858453,1
lime,channel,t700_18,pred_precip_mm,0.04962732143664177,0.7666281750857693,1
lime,channel,t500_18,pred_precip_mm,0.026132308154918932,0.6458318729570948,1
lime,channel,t300_18,pred_precip_mm,-0.0089424549787118,0.10334583274903388,1
lime,channel,q1000_00,pred_precip_mm,0.02929038582528788,0.07962560968408952,1
lime,channel,q925_00,pred_precip_mm,-0.04231966644601227,0.04811417869142692,1
lime,channel,q850_00,pred_precip_mm,-0.04088782571929434,0.06304757373128382,1
lime,channel,q700_00,pred_precip_mm,0.003321821333445358,0.09692978014477521,1
lime,channel,q500_00,pred_precip_mm,0.06720060700378573,0.061903829376115244,1
lime,channel,q300_00,pred_precip_mm,0.03746778021222414,0.1856585983377682,1
lime,channel,q1000_06,pred_precip_mm,0.0545885673812575,0.42509192047887673,1
lime,channel,q925_06,pred_precip_mm,0.0009850360687903995,0.20073986976844974,1
lime,channel,q850_06,pred_precip_mm,-0.01752584660799716,0.18194233330330925,1
lime,channel,q700_06,pred_precip_mm,0.0011789564958593988,0.3030453530822421,1
lime,channel,q500_06,pred_precip_mm,-0.07122401135409179,0.1213015027171082,1
lime,channel,q300_06,pred_precip_mm,-0.07562983904618933,0.08452911000716372,1
lime,channel,q1000_12,pred_precip_mm,0.006552137689564506,0.29532587613570355,1
lime,channel,q925_12,pred_precip_mm,-0.00208995412310551,0.22556169962247954,1
lime,channel,q850_12,pred_precip_mm,-0.03413963028303246,0.10400879937780533,1
lime,channel,q700_12,pred_precip_mm,-0.044201590093942575,0.36551151925960484,1
lime,channel,q500_12,pred_precip_mm,-0.07131942081180817,0.09351110254892561,1
lime,channel,q300_12,pred_precip_mm,-0.030203528917641602,0.05424382821572125,1
lime,channel,q1000_15,pred_precip_mm,0.03883963248143077,0.37683595868890746,1
lime,channel,q925_15,pred_precip_mm,0.027172991380649276,0.30737834399221553,1
lime,channel,q850_15,pred_precip_mm,-0.0014995035740956817,0.11642960965438331,1
lime,channel,q700_15,pred_precip_mm,-0.05134223909774432,0.34948529640616394,1
lime,channel,q500_15,pred_precip_mm,0.012595262216051183,0.09844072677922397,1
lime,channel,q300_15,pred_precip_mm,0.0348475294549871,0.08458915408735672,1
lime,channel,q1000_18,pred_precip_mm,0.0921182757720208,0.42298390108566575,1
lime,channel,q925_18,pred_precip_mm,0.07644657208835132,0.4181523251054035,1
lime,channel,q850_18,pred_precip_mm,0.05300856981992012,0.5985505814806081,1
lime,channel,q700_18,pred_precip_mm,0.030201970271093295,0.7050010995338054,1
lime,channel,q500_18,pred_precip_mm,0.09183728591877152,0.4242250820229976,1
lime,channel,q300_18,pred_precip_mm,0.10861748685462114,0.4051026178737994,1
lime,channel,lat,pred_precip_mm,0.01321656051185568,0.03223598577244489,1
lime,channel,lon,pred_precip_mm,0.008229801364569817,0.03900852865970687,1
lime,channel,cos_time,pred_precip_mm,-0.01679713782832086,0.13566244031358377,1
lime,channel,sin_time,pred_precip_mm,0.011971219073703278,0.3184459603993809,1
lime,channel,elevation,pred_precip_mm,0.012134788451109244,0.024240577986789313,1
lime,variable,variable=z,pred_precip_mm,0.4987633213852101,2.8498843107945038,30
lime,variable,variable=t,pred_precip_mm,-0.12056473687677932,4.101462012384745,30
lime,variable,variable=q,pred_precip_mm,0.2838878121931566,6.491730975437775,30
lime,variable,variable=scaffold,pred_precip_mm,0.028755231572917123,0.38750465821762736,5
lime,level,level=1000,pred_precip_mm,0.15915446381769272,1.131768419535618,15
lime,level,level=925,pred_precip_mm,0.22159938784737288,0.7562121219401132,15
lime,level,level=850,pred_precip_mm,0.17536698383798247,0.6160962665023175,15
lime,level,level=700,pred_precip_mm,0.3090212365350985,1.5088547189660322,15
lime,level,level=500,pred_precip_mm,0.13815252049324672,2.2339192084863746,15
lime,level,level=300,pred_precip_mm,-0.34120819582980616,0.7917176804040648,15
lime,hour,hour=00,pred_precip_mm,0.25940004352955753,1.1959198779194156,18
lime,hour,hour=06,pred_precip_mm,0.26840180926619495,2.1998472800491635,18
lime,hour,hour=12,pred_precip_mm,-0.5176444028701315,0.8182466529835093,18
lime,hour,hour=15,pred_precip_mm,0.18086792418685219,1.6619002788723654,18
lime,hour,hour=18,pred_precip_mm,0.47106102258911353,2.0462336141765682,18
