method,grouping,feature,metric,importance,std,n_channels
pfi,channel,z1000_00,pr_mae,0.10518989562988282,0.009200530406223775,1
pfi,channel,z1000_00,pr_nll,0.03621599197387706,0.002678975829886713,1
pfi,channel,z925_00,pr_mae,0.04999856948852539,0.003761942013007434,1
pfi,channel,z925_00,pr_nll,0.01758949279785167,0.0020936147759061047,1
pfi,channel,z850_00,pr_mae,0.06294093132019044,0.011488665194065615,1
pfi,channel,z850_00,pr_nll,0.029353780746460157,0.0042281032759343435,1
pfi,channel,z700_00,pr_mae,0.004224634170532227,0.0038456078583485685,1
pfi,channel,z700_00,pr_nll,0.006524486541748154,0.001276908205876198,1
pfi,channel,z500_00,pr_mae,-0.006947755813598633,0.0016554606839008373,1
pfi,channel,z500_00,pr_nll,-3.5476684570046046e-05,0.0005084825596747634,1
pfi,channel,z300_00,pr_mae,-0.004824686050415039,0.0011659601813875297,1
pfi,channel,z300_00,pr_nll,-0.0004946422576902698,0.0002492713019717934,1
pfi,channel,z1000_06,pr_mae,-0.014193487167358399,0.0023796089081932724,1
pfi,channel,z1000_06,pr_nll,-0.01703687191009511,0.0005090485493923007,1
pfi,channel,z925_06,pr_mae,0.0008996009826660156,0.0014317439126802546,1
pfi,channel,z925_06,pr_nll,-0.006180715560912908,0.0009007905223802371,1
pfi,channel,z850_06,pr_mae,0.022069692611694336,0.002847724242242719,1
pfi,channel,z850_06,pr_nll,0.00823185920715348,0.0012648757105595335,1
pfi,channel,z700_06,pr_mae,-0.0023561954498291016,0.0020075717293160755,1
pfi,channel,z700_06,pr_nll,0.002274398803711186,0.0004547720753710845,1
pfi,channel,z500_06,pr_mae,-0.0011134624481201171,0.004024933489996666,1
pfi,channel,z500_06,pr_nll,-0.003981981277465696,0.0009168393446801536,1
pfi,channel,z300_06,pr_mae,0.0024399757385253906,0.0012786025051564436,1
pfi,channel,z300_06,pr_nll,-0.0012738752365111239,0.0002483930403209561,1
pfi,channel,z1000_12,pr_mae,0.031997966766357425,0.0016768272097116687,1
pfi,channel,z1000_12,pr_nll,0.013164110183716016,0.0008270115080119523,1
pfi,channel,z925_12,pr_mae,0.016408634185791016,0.001652299688645006,1
pfi,channel,z925_12,pr_nll,0.0018157482147218573,0.0007677794482305639,1
pfi,channel,z850_12,pr_mae,0.013951587677001952,0.002242436808856027,1
pfi,channel,z850_12,pr_nll,0.0009420871734620917,0.0008044205814179889,1
pfi,channel,z700_12,pr_mae,0.002830982208251953,0.007321341882151643,1
pfi,channel,z700_12,pr_nll,-0.008111915588378782,0.0028910661992460934,1
pfi,channel,z500_12,pr_mae,0.015442752838134765,0.012030561451801794,1
pfi,channel,z500_12,pr_nll,-0.0033098793029783025,0.002414481911326993,1
pfi,channel,z300_12,pr_mae,0.029471206665039062,0.0034016931569129175,1
pfi,channel,z300_12,pr_nll,-0.002848687171935893,0.0011625559649182206,1
pfi,channel,z1000_15,pr_mae,0.016774892807006836,0.0019455531990651745,1
pfi,channel,z1000_15,pr_nll,-0.004101896286010565,0.0013402705939863642,1
pfi,channel,z925_15,pr_mae,-0.015378570556640625,0.006547930328136436,1
pfi,channel,z925_15,pr_nll,-0.022757964134216113,0.0014062141303649229,1
pfi,channel,z850_15,pr_mae,-0.01394667625427246,0.0038680951376558006,1
