method,grouping,feature,metric,importance,std,n_channels
lime,channel,data,pred_precip_mm,0.12984000224739398,0.3051293024397998,1
lime,channel,lat,pred_precip_mm,-0.0022821142083856226,0.011186224303073342,1
lime,channel,lon,pred_precip_mm,0.0023087667704428756,0.006419771753338263,1
lime,channel,cos_time,pred_precip_mm,-0.06081310593186261,0.5047220627007333,1
lime,channel,sin_time,pred_precip_mm,-0.11012347653970012,0.24304654782591273,1
lime,channel,elevation,pred_precip_mm,-0.0007222917123762458,0.007661793385819452,1
lime,channel,tp,pred_precip_mm,-1.4047942498205686,2.3422381325935704,1
lime,variable,variable=data,pred_precip_mm,0.12984000224739398,0.3051293024397998,1
lime,variable,variable=scaffold,pred_precip_mm,-0.1716322216218817,0.7320740608606716,5
lime,variable,variable=tp,pred_precip_mm,-1.4047942498205686,2.3422381325935704,1
lime,hour,hour=-,pred_precip_mm,-1.4047942498205686,2.3422381325935704,1
