method,grouping,feature,metric,importance,std,n_channels
pfi,channel,data,pr_mae,0.2306293487548828,0.03736071875643602,1
pfi,channel,data,pr_nll,0.059604473114013734,0.01125925811897776,1
pfi,channel,lat,pr_mae,0.0,0.0,1
pfi,channel,lat,pr_nll,0.0,0.0,1
pfi,channel,lon,pr_mae,0.0,0.0,1
pfi,channel,lon,pr_nll,0.0,0.0,1
pfi,channel,cos_time,pr_mae,0.15210480690002443,0.011178251007846588,1
pfi,channel,cos_time,pr_nll,0.04786703586578374,0.0058252490338463365,1
pfi,channel,sin_time,pr_mae,0.024431228637695312,0.005626426018288811,1
pfi,channel,sin_time,pr_nll,0.023908348083496112,0.003386345394919569,1
pfi,channel,elevation,pr_mae,0.0,0.0,1
pfi,channel,elevation,pr_nll,0.0,0.0,1
pfi,channel,tp,pr_mae,2.6444223403930662,0.0976922379170978,1
pfi,channel,tp,pr_nll,2.1338554000854493,0.09221082092382664,1
pfi,variable,variable=data,pr_mae,0.19265923500061036,0.029384502133648942,1
pfi,variable,variable=data,pr_nll,0.05453166007995609,0.004821628156830499,1
pfi,variable,variable=scaffold,pr_mae,0.1381450653076172,0.026969531314335975,5
pfi,variable,variable=scaffold,pr_nll,0.05441872119903572,0.002755940308683126,5
pfi,variable,variable=tp,pr_mae,2.6454171180725097,0.09326885097338,1
pfi,variable,variable=tp,pr_nll,2.1654681396484374,0.0849627717711129,1
pfi,hour,hour=-,pr_mae,2.6760727882385256,0.10551986160507025,1
pfi,hour,hour=-,pr_nll,2.1930307579040527,0.11904393256395211,1
