method,grouping,feature,metric,importance,std,n_channels
pfi,channel,data,pr_mae,0.21765756607055664,0.04203167903115236,1
pfi,channel,data,pr_nll,0.04426845073699952,0.010856781702331722,1
pfi,channel,lat,pr_mae,0.0,0.0,1
pfi,channel,lat,pr_nll,0.0,0.0,1
pfi,channel,lon,pr_mae,0.0,0.0,1
pfi,channel,lon,pr_nll,0.0,0.0,1
pfi,channel,cos_time,pr_mae,0.21008896827697754,0.015991443871665272,1
pfi,channel,cos_time,pr_nll,0.05732187271118168,0.002515467368385458,1
pfi,channel,sin_time,pr_mae,0.03435497283935547,0.006385394946985025,1
pfi,channel,sin_time,pr_nll,0.019387779235839852,0.0013246668890302075,1
pfi,channel,elevation,pr_mae,0.0,0.0,1
pfi,channel,elevation,pr_nll,0.0,0.0,1
pfi,channel,tp,pr_mae,3.7766363620758057,0.15970892997986844,1
pfi,channel,tp,pr_nll,2.4715911912918087,0.1395746549002342,1
pfi,variable,variable=data,pr_mae,0.23653144836425782,0.028010170899424824,1
pfi,variable,variable=data,pr_nll,0.05117533206939697,0.004214073432081816,1
pfi,variable,variable=scaffold,pr_mae,0.24037809371948243,0.03348879899332965,5
pfi,variable,variable=scaffold,pr_nll,0.06498638629913334,0.005731907733641041,5
pfi,variable,variable=tp,pr_mae,3.773159551620483,0.12917870319988684,1
pfi,variable,variable=tp,pr_nll,2.5325221109390257,0.04498394548659476,1
pfi,hour,hour=-,pr_mae,3.791528749465942,0.11836708527419469,1
pfi,hour,hour=-,pr_nll,2.4315304899215695,0.10058846969984021,1
