method,grouping,feature,metric,importance,std,n_channels
lime,channel,z1000_00,pred_precip_mm,-0.004578833688651322,0.015727641721608128,1
lime,channel,z925_00,pred_precip_mm,0.003720189854242998,0.014461449453674294,1
lime,channel,z850_00,pred_precip_mm,0.004321031203131955,0.016395527549041417,1
lime,channel,z700_00,pred_precip_mm,0.024981898936522293,0.052145472145102324,1
lime,channel,z500_00,pred_precip_mm,0.0027177816669676975,0.007830490593921609,1
lime,channel,z300_00,pred_precip_mm,-0.003634080904581392,0.012189078477839796,1
lime,channel,z1000_06,pred_precip_mm,0.001582759137710861,0.004781549902912288,1
lime,channel,z925_06,pred_precip_mm,0.0038226720313698716,0.010846169961912452,1
lime,channel,z850_06,pred_precip_mm,1.690572940721627e-05,0.008808109992031946,1
lime,channel,z700_06,pred_precip_mm,0.0023824521662814055,0.02156849742415142,1
lime,channel,z500_06,pred_precip_mm,-0.011401946181284315,0.025080529308150353,1
lime,channel,z300_06,pred_precip_mm,-0.010252480392309797,0.020440671588827695,1
lime,channel,z1000_12,pred_precip_mm,-0.0034934517664174675,0.021713690560361487,1
lime,channel,z925_12,pred_precip_mm,-0.0027222869152930306,0.00970634899417693,1
lime,channel,z850_12,pred_precip_mm,0.006192657928599283,0.017895671926718197,1
lime,channel,z700_12,pred_precip_mm,-0.0016421260395030174,0.010201796559644987,1
lime,channel,z500_12,pred_precip_mm,-0.03492479225636108,0.06863578002016317,1
lime,channel,z300_12,pred_precip_mm,-0.030955297262951008,0.07445987993873994,1
lime,channel,z1000_15,pred_precip_mm,-0.0030074948841292315,0.014429350237768169,1
lime,channel,z925_15,pred_precip_mm,-0.010483421832353358,0.018511407421230378,1
lime,channel,z850_15,pred_precip_mm,-0.004455256910443739,0.02118472547752402,1
lime,channel,z700_15,pred_precip_mm,-0.012762362133241376,0.028233414663941206,1
lime,channel,z500_15,pred_precip_mm,-0.03693013678877882,0.08305768334499744,1
lime,channel,z300_15,pred_precip_mm,-0.035771437981395794,0.09456192162850105,1
lime,channel,z1000_18,pred_precip_mm,-0.005543293546015272,0.01702196338574289,1
lime,channel,z925_18,pred_precip_mm,-0.004451176110485602,0.022331129718835677,1
lime,channel,z850_18,pred_precip_mm,-0.016355524836317425,0.04067802476818072,1
lime,channel,z700_18,pred_precip_mm,-0.027025579102020025,0.052649473597434514,1
lime,channel,z500_18,pred_precip_mm,-0.04574647367686761,0.09576106748749366,1
lime,channel,z300_18,pred_precip_mm,-0.051086355603280495,0.13584427285184072,1
lime,channel,t1000_00,pred_precip_mm,0.03617258506348975,0.08143408477795872,1
lime,channel,t925_00,pred_precip_mm,0.030129468662271022,0.08395067337865249,1
lime,channel,t850_00,pred_precip_mm,0.037954670380323775,0.08189587149591838,1
lime,channel,t700_00,pred_precip_mm,-0.0012223573446621234,0.011473854423777402,1
lime,channel,t500_00,pred_precip_mm,0.002387138714538878,0.015615334591791838,1
lime,channel,t300_00,pred_precip_mm,0.00182090179017046,0.0033692813426631956,1
lime,channel,t1000_06,pred_precip_mm,0.042732199765501036,0.08063140672667633,1
lime,channel,t925_06,pred_precip_mm,0.0406382004888826,0.07987728527020764,1
lime,channel,t850_06,pred_precip_mm,0.04056204930214192,0.06947672236575468,1
lime,channel,t700_06,pred_precip_mm,-0.02692562970379208,0.05908635615037856,1
lime,channel,t500_06,pred_precip_mm,-0.0246994588373507,0.06566964241246565,1
