method,grouping,feature,metric,importance,std,n_channels
pfi,channel,z1000_00,pr_mae,0.01088719367980957,0.0034564389587924006,1
pfi,channel,z1000_00,pr_nll,0.0010225105285644354,0.0010250228799329132,1
pfi,channel,z925_00,pr_mae,0.019387292861938476,0.006634264259231662,1
pfi,channel,z925_00,pr_nll,0.0034032630920410424,0.0020492679319352686,1
pfi,channel,z850_00,pr_mae,0.01956944465637207,0.007235482887479283,1
pfi,channel,z850_00,pr_nll,0.0018532943725586115,0.0018848904446804025,1
pfi,channel,z700_00,pr_mae,0.009030294418334962,0.004422797664790826,1
pfi,channel,z700_00,pr_nll,0.0033900165557861238,0.00234042577484828,1
pfi,channel,z500_00,pr_mae,0.0007103443145751953,0.0006103690264110728,1
pfi,channel,z500_00,pr_nll,-0.00011905670166014736,0.0003274755786337243,1
pfi,channel,z300_00,pr_mae,0.005951786041259765,0.0006508988528645445,1
pfi,channel,z300_00,pr_nll,0.001101784706115705,9.38727096457404e-05,1
pfi,channel,z1000_06,pr_mae,0.0022249698638916017,0.001382529468262933,1
pfi,channel,z1000_06,pr_nll,0.000734753608703631,0.0005047233774942287,1
pfi,channel,z925_06,pr_mae,0.0036680221557617186,0.0015538266399663294,1
pfi,channel,z925_06,pr_nll,0.000761909484863299,0.0006979209058014804,1
pfi,channel,z850_06,pr_mae,0.007431173324584961,0.0038522999138202603,1
pfi,channel,z850_06,pr_nll,0.0010120344161987482,0.0009437022312567456,1
pfi,channel,z700_06,pr_mae,0.00334930419921875,0.0013608012956938293,1
pfi,channel,z700_06,pr_nll,0.0005614995956420455,0.0008705086604999495,1
pfi,channel,z500_06,pr_mae,0.0006775379180908204,0.0012726745912703583,1
pfi,channel,z500_06,pr_nll,0.000744524002075142,0.00017154718322791215,1
pfi,channel,z300_06,pr_mae,0.009938430786132813,0.0023797995006367575,1
pfi,channel,z300_06,pr_nll,0.0017744779586791992,0.00040406824535326423,1
pfi,channel,z1000_12,pr_mae,0.02193288803100586,0.0019068553668204198,1
pfi,channel,z1000_12,pr_nll,0.0030056333541869764,0.0008576611746512205,1
pfi,channel,z925_12,pr_mae,0.011360740661621094,0.001551760846329847,1
pfi,channel,z925_12,pr_nll,0.0012416505813598988,0.000306508964156638,1
pfi,channel,z850_12,pr_mae,0.0002093791961669922,0.0007050686881470409,1
pfi,channel,z850_12,pr_nll,0.0008126401901244584,0.00010701338137306702,1
pfi,channel,z700_12,pr_mae,-0.006607627868652344,0.004328120147072871,1
pfi,channel,z700_12,pr_nll,0.000404543876647967,0.0005811995378065452,1
pfi,channel,z500_12,pr_mae,0.009990453720092773,0.013887439630683916,1
pfi,channel,z500_12,pr_nll,0.00626737594604494,0.0026529514543002673,1
pfi,channel,z300_12,pr_mae,0.019453096389770507,0.004590662811781657,1
