method,grouping,feature,metric,importance,std,n_channels
lime,channel,z1000_00,pred_precip_mm,-0.014795815258621567,0.037198199804129445,1
lime,channel,z925_00,pred_precip_mm,-0.0001036137185632547,0.05778156036449462,1
lime,channel,z850_00,pred_precip_mm,0.006119420060548228,0.10836729347295974,1
lime,channel,z700_00,pred_precip_mm,0.01957374314424734,0.13757411488093058,1
lime,channel,z500_00,pred_precip_mm,0.018537705586113867,0.024294913684927442,1
lime,channel,z300_00,pred_precip_mm,-0.005890048764487597,0.02205846436629948,1
lime,channel,z1000_06,pred_precip_mm,0.01190377947073629,0.023227154200688903,1
lime,channel,z925_06,pred_precip_mm,0.009288158122113341,0.010380848842918438,1
lime,channel,z850_06,pred_precip_mm,-0.003392422536426961,0.038499506841213685,1
lime,channel,z700_06,pred_precip_mm,0.014631971026687996,0.05081056131649748,1
lime,channel,z500_06,pred_precip_mm,-0.013725460876008606,0.04008465429214679,1
lime,channel,z300_06,pred_precip_mm,0.004400714961422608,0.012158491590666861,1
lime,channel,z1000_12,pred_precip_mm,-0.04837093611156077,0.10127187947620808,1
lime,channel,z925_12,pred_precip_mm,-0.009878881205490835,0.036178966233960795,1
lime,channel,z850_12,pred_precip_mm,0.022376006367532,0.036182467259435205,1
lime,channel,z700_12,pred_precip_mm,0.03918476898360164,0.05896780782028855,1
lime,channel,z500_12,pred_precip_mm,0.026890034184983178,0.16456034848253398,1
lime,channel,z300_12,pred_precip_mm,0.0052591225827843405,0.14077074120187058,1
lime,channel,z1000_15,pred_precip_mm,-0.02251660601207107,0.08446573673480288,1
lime,channel,z925_15,pred_precip_mm,0.001867905227246341,0.05573636924326305,1
lime,channel,z850_15,pred_precip_mm,0.03257916088792181,0.07847017071732064,1
lime,channel,z700_15,pred_precip_mm,0.03115692084687101,0.10005791510327419,1
lime,channel,z500_15,pred_precip_mm,0.021905253908227822,0.2068510273464599,1
lime,channel,z300_15,pred_precip_mm,0.016196001890006032,0.17410441850439853,1
lime,channel,z1000_18,pred_precip_mm,0.010568806590382049,0.035147250316486245,1
lime,channel,z925_18,pred_precip_mm,0.018233116644388106,0.12405355803805777,1
lime,channel,z850_18,pred_precip_mm,0.06981072911053161,0.19118036214965312,1
lime,channel,z700_18,pred_precip_mm,0.07607860581473361,0.25243898071631293,1
lime,channel,z500_18,pred_precip_mm,0.051116728267839584,0.2833324377084514,1
lime,channel,z300_18,pred_precip_mm,0.020869476013348643,0.3000197592926522,1
lime,channel,t1000_00,pred_precip_mm,0.09590405724147837,0.19411563349830235,1
lime,channel,t925_00,pred_precip_mm,0.09751603415631067,0.22268527012183037,1
lime,channel,t850_00,pred_precip_mm,0.07579641838360661,0.20753517991184614,1
