method,grouping,feature,metric,importance,std,n_channels
pfi,channel,z1000_00,mae,0.006459426879882812,0.0014701244341925005,1
pfi,channel,z1000_00,nll,0.00504148006439209,0.000972103195743438,1
pfi,channel,z1000_00,crps,0.00467200787084614,0.0009631457677696736,1
pfi,channel,z925_00,mae,-0.0013755559921264648,0.0003918777040348479,1
pfi,channel,z925_00,nll,-0.0009241342544555664,0.00028215445660169494,1
pfi,channel,z925_00,crps,-0.001091310962140457,0.00020580073099796782,1
pfi,channel,z850_00,mae,-0.0031435489654541016,0.0006275199059256308,1
pfi,channel,z850_00,nll,-0.0014620304107666015,0.0002847253087776064,1
pfi,channel,z850_00,crps,-0.001871537613986196,0.00033408577664707214,1
pfi,channel,z700_00,mae,0.0019136667251586914,0.0005033618257619505,1
pfi,channel,z700_00,nll,0.001750779151916504,0.00040637141814110425,1
pfi,channel,z700_00,crps,0.0015134206055935407,0.00038473732275563625,1
pfi,channel,z500_00,mae,-0.0018625736236572265,0.00024319422701627385,1
pfi,channel,z500_00,nll,0.00023734569549560547,0.00026042326175366933,1
pfi,channel,z500_00,crps,-0.0006382709639431994,0.0002089129910654687,1
pfi,channel,z300_00,mae,-0.004844379425048828,0.0005434772800379591,1
pfi,channel,z300_00,nll,-0.0015001296997070312,0.00024251444007519386,1
pfi,channel,z300_00,crps,-0.002448720745013455,0.0002640328999227975,1
pfi,channel,z1000_06,mae,0.0006546974182128906,0.00025877402761750407,1
pfi,channel,z1000_06,nll,0.0005533218383789063,0.00026872811150011695,1
pfi,channel,z1000_06,crps,0.00042100581157717977,0.00016779717532705904,1
pfi,channel,z925_06,mae,0.005287337303161621,0.0011038747194211944,1
pfi,channel,z925_06,nll,0.0015686988830566407,0.0007408906751576905,1
pfi,channel,z925_06,crps,0.0022926916875732894,0.0007068186504140619,1
pfi,channel,z850_06,mae,-0.0005764007568359375,0.0003543298234939845,1
pfi,channel,z850_06,nll,-0.0011612653732299804,0.00020548881707357228,1
pfi,channel,z850_06,crps,-0.0008451094046727281,0.00017244985985017335,1
pfi,channel,z700_06,mae,0.0027368783950805662,0.00027515573688193884,1
pfi,channel,z700_06,nll,0.0012548208236694337,0.00017052596823729225,1
pfi,channel,z700_06,crps,0.0015902067053902957,0.0001888926864807635,1
pfi,channel,z500_06,mae,-0.001962876319885254,0.0009112760233277278,1
pfi,channel,z500_06,nll,-0.0008040904998779297,0.0002924378516607264,1
pfi,channel,z500_06,crps,-0.0010689826702449112,0.0004305957617070373,1
pfi,channel,z300_06,mae,-0.005585074424743652,0.0007933168476550699,1
pfi,channel,z300_06,nll,-0.0014303207397460937,0.0003754730858103967,1
pfi,channel,z300_06,crps,-0.00268908221371873,0.00044575344299308743,1
pfi,channel,z1000_12,mae,0.04971301555633545,0.005165915576364714,1
pfi,channel,z1000_12,nll,0.029393219947814943,0.0029131066697010884,1
pfi,channel,z1000_12,crps,0.031324988161482256,0.003029585426646593,1
pfi,channel,z925_12,mae,-0.0006769418716430664,0.0004345669221586744,1
pfi,channel,z925_12,nll,-0.0003303050994873047,0.00020312898312461583,1
pfi,channel,z925_12,crps,-0.00040273114539166597,0.00024488209366241607,1
pfi,channel,z850_12,mae,0.004541540145874023,0.0018990444375402813,1
pfi,channel,z850_12,nll,0.0010857820510864259,0.0008162238184516702,1
pfi,channel,z850_12,crps,0.001908495195758375,0.0009576735408498104,1
pfi,channel,z700_12,mae,0.0015860319137573243,0.001291297956151063,1
pfi,channel,z700_12,nll,0.0012034893035888672,0.000529355142761301,1
pfi,channel,z700_12,crps,0.0008874590418900263,0.0006301366064438711,1
pfi,channel,z500_12,mae,0.00010251998901367188,0.0010542755614820405,1
