method,grouping,feature,metric,importance,std,n_channels
pfi,channel,z1000_00,mae,0.014107322692871094,0.0024576646450707256,1
pfi,channel,z1000_00,nll,0.009615278244018555,0.0012170446682909434,1
pfi,channel,z1000_00,crps,0.009905545873814337,0.001460863681071788,1
pfi,channel,z925_00,mae,-0.0026035547256469727,0.001926824394327856,1
pfi,channel,z925_00,nll,-0.0018849372863769531,0.0007880556919166364,1
pfi,channel,z925_00,crps,-0.002168919932736646,0.0010025644368727663,1
pfi,channel,z850_00,mae,-0.002530217170715332,0.0008378662480020916,1
pfi,channel,z850_00,nll,-0.001746988296508789,0.00031408223702054103,1
pfi,channel,z850_00,crps,-0.001968176000836741,0.0003664941726759182,1
pfi,channel,z700_00,mae,0.003264331817626953,0.0004787340545368173,1
pfi,channel,z700_00,nll,0.0028119325637817384,0.0005271091184714536,1
pfi,channel,z700_00,crps,0.0027282693685502625,0.00045955898547773814,1
pfi,channel,z500_00,mae,-0.0019412040710449219,0.0005466056381236094,1
pfi,channel,z500_00,nll,0.0001454591751098633,0.0004317012589918601,1
pfi,channel,z500_00,crps,-0.0006931483441659392,0.0003848137639700397,1
pfi,channel,z300_00,mae,-0.004477691650390625,0.000854566445939746,1
pfi,channel,z300_00,nll,-0.0014549493789672852,0.0003804294214491028,1
pfi,channel,z300_00,crps,-0.0022672351653416412,0.00041146764195995264,1
pfi,channel,z1000_06,mae,-2.872943878173828e-05,0.00031038638806901584,1
pfi,channel,z1000_06,nll,0.00022001266479492186,0.00020015059516327306,1
pfi,channel,z1000_06,crps,-2.5825492007713892e-05,0.00019440399651279256,1
pfi,channel,z925_06,mae,-0.0001703500747680664,0.0019773092243148146,1
pfi,channel,z925_06,nll,-0.002029728889465332,0.0008494136131163735,1
pfi,channel,z925_06,crps,-0.0016108261296505111,0.0010741195405668395,1
pfi,channel,z850_06,mae,-0.003334522247314453,0.0016459093342336393,1
pfi,channel,z850_06,nll,-0.002954864501953125,0.0009112502390878287,1
pfi,channel,z850_06,crps,-0.0029505884089820133,0.0009793144295921984,1
pfi,channel,z700_06,mae,0.0017844915390014648,0.0003942474124478424,1
pfi,channel,z700_06,nll,0.0014334440231323243,0.00023883864352539655,1
pfi,channel,z700_06,crps,0.0015583914801825527,0.00022030068684325172,1
pfi,channel,z500_06,mae,-0.0036053895950317384,0.0006895308973365055,1
pfi,channel,z500_06,nll,-0.0014507055282592773,0.0003387983343167804,1
pfi,channel,z500_06,crps,-0.0019240143266259224,0.00040359029625306695,1
pfi,channel,z300_06,mae,-0.003862810134887695,0.0007531973311400677,1
pfi,channel,z300_06,nll,-0.0012670278549194336,0.0004682609395907072,1
pfi,channel,z300_06,crps,-0.001879969812389537,0.0004547411457105543,1
pfi,channel,z1000_12,mae,0.07910339832305908,0.0029387225027064407,1
pfi,channel,z1000_12,nll,0.04423325061798096,0.0018663520854058887,1
pfi,channel,z1000_12,crps,0.050267335016215074,0.0019956292145511217,1
pfi,channel,z925_12,mae,-0.0004620552062988281,0.0004572890535704528,1
pfi,channel,z925_12,nll,-0.00027153491973876955,0.0003652018126486034,1
pfi,channel,z925_12,crps,-0.00039030022938451036,0.0003294902025500183,1
pfi,channel,z850_12,mae,0.0036186456680297853,0.0025183121619765285,1
pfi,channel,z850_12,nll,-6.6375732421875e-05,0.0012648871130792507,1
pfi,channel,z850_12,crps,0.0006111668213115041,0.001474735569248885,1
pfi,channel,z700_12,mae,-0.0033544063568115234,0.000968181579603731,1
pfi,channel,z700_12,nll,-0.0019700050354003905,0.0005146697285569035,1
pfi,channel,z700_12,crps,-0.0024557385422817823,0.0006292383707358114,1
pfi,channel,z500_12,mae,-0.0031589984893798826,0.0010790168313015373,1
pfi,channel,z500_12,nll,-0.0008809566497802734,0.0004980824271073361,1
pfi,channel,z500_12,crps,-0.00173716557016792,0.0005478941746036782,1
pfi,channel,z300_12,mae,-0.004155731201171875,0.00044203065230497056,1
pfi,channel,z300_12,nll,-0.001961207389831543,0.0004118036303880068,1
pfi,channel,z300_12,crps,-0.002349689710826941,0.0003574391135761008,1
pfi,channel,z1000_15,mae,0.06846041679382324,0.0038207403511778724,1
pfi,channel,z1000_15,nll,0.036908721923828124,0.002148646365392716,1
pfi,channel,z1000_15,crps,0.04230970665875311,0.002127520788022744,1
pfi,channel,z925_15,mae,0.0010903120040893556,0.0004661436043188508,1
pfi,channel,z925_15,nll,0.0008707761764526368,0.0001785896261316663,1
pfi,channel,z925_15,crps,0.0009018774547096875,0.0002135260697774087,1
pfi,channel,z850_15,mae,0.004838395118713379,0.002460012513533998,1
pfi,channel,z850_15,nll,0.0007200956344604493,0.001230971721656965,1
pfi,channel,z850_15,crps,0.0012186740412957419,0.0012860821856779002,1
pfi,channel,z700_15,mae,-0.002211332321166992,0.0016175593199105086,1
pfi,channel,z700_15,nll,-0.0018928050994873047,0.0007078958980217456,1
pfi,channel,z700_15,crps,-0.002027531891686407,0.0008167931314992838,1
pfi,channel,z500_15,mae,-0.0032902956008911133,0.00023584234005536017,1
pfi,channel,z500_15,nll,-0.0012725830078125,0.000280750176186651,1
pfi,channel,z500_15,crps,-0.0018420503369785957,0.0002251906436792304,1
pfi,channel,z300_15,mae,-0.003966712951660156,0.0009043242898013549,1
pfi,channel,z300_15,nll,-0.0012334823608398438,0.0007052035696771511,1
pfi,channel,z300_15,crps,-0.0020670075260452283,0.000649537284934298,1
pfi,channel,z1000_18,mae,0.013483190536499023,0.004151088531233967,1
pfi,channel,z1000_18,nll,0.00757894515991211,0.002210179580360773,1
pfi,channel,z1000_18,crps,0.008652898058397019,0.0024457430379322114,1
pfi,channel,z925_18,mae,-0.00038406848907470705,0.0008968445327356106,1
pfi,channel,z925_18,nll,-0.0005034685134887695,0.0003894442994749573,1
pfi,channel,z925_18,crps,-0.000777502877484193,0.00045064783415157055,1
pfi,channel,z850_18,mae,0.00926358699798584,0.004163887361571294,1
pfi,channel,z850_18,nll,0.0021066665649414062,0.0018490236911517014,1
pfi,channel,z850_18,crps,0.003175860966736632,0.002017805001154711,1
pfi,channel,z700_18,mae,-0.001991891860961914,0.001353645987773898,1
pfi,channel,z700_18,nll,-0.0017992734909057617,0.0003323385290413412,1
pfi,channel,z700_18,crps,-0.001812549727020163,0.00047902823743140564,1
pfi,channel,z500_18,mae,-0.003090310096740723,0.0012114976412095574,1
pfi,channel,z500_18,nll,-0.0012480974197387694,0.0005338358386667605,1
pfi,channel,z500_18,crps,-0.001813234801266428,0.0006018911721044156,1
pfi,channel,z300_18,mae,-0.003066730499267578,0.0013997284654003338,1
pfi,channel,z300_18,nll,-0.0007119894027709961,0.0008917165326257071,1
pfi,channel,z300_18,crps,-0.001624610064461951,0.0008941355927084021,1
pfi,channel,t1000_00,mae,0.1032219409942627,0.011591842955146852,1
pfi,channel,t1000_00,nll,0.05544092655181885,0.008069675310185024,1
pfi,channel,t1000_00,crps,0.06251544601632975,0.008230932506081414,1
pfi,channel,t925_00,mae,0.05796291828155518,0.0038631277093957297,1
pfi,channel,t925_00,nll,0.030812454223632813,0.001729522208584078,1
pfi,channel,t925_00,crps,0.03514917264918409,0.0016936999421509175,1
pfi,channel,t850_00,mae,-0.0021393299102783203,0.00041719029757960154,1
pfi,channel,t850_00,nll,-0.00012776851654052734,0.0003318458727966398,1
pfi,channel,t850_00,crps,-0.0008165834797868143,0.00033191855468113794,1
pfi,channel,t700_00,mae,0.0024159431457519533,0.000617751098825261,1
pfi,channel,t700_00,nll,0.0014694929122924805,0.00043171581256809495,1
pfi,channel,t700_00,crps,0.0014829653123474618,0.0004277907324316508,1
pfi,channel,t500_00,mae,-0.0028023481369018554,0.0011544110443508697,1
pfi,channel,t500_00,nll,-0.00028779506683349607,0.0005283547132859775,1
pfi,channel,t500_00,crps,-0.0009089757568246926,0.000589493596845895,1
pfi,channel,t300_00,mae,-0.0022599220275878905,0.0006640288021137803,1
pfi,channel,t300_00,nll,-0.00042977333068847654,0.00048795374186210816,1
pfi,channel,t300_00,crps,-0.0007930447138646546,0.0004384199698916888,1
pfi,channel,t1000_06,mae,0.04849467277526855,0.0054715155656529756,1
pfi,channel,t1000_06,nll,0.024415063858032226,0.002386208109997913,1
pfi,channel,t1000_06,crps,0.028173401604637594,0.002931076880494893,1
pfi,channel,t925_06,mae,0.026105618476867674,0.004071583943934973,1
pfi,channel,t925_06,nll,0.013172268867492676,0.0022928763380412613,1
pfi,channel,t925_06,crps,0.01513693609577733,0.0024265958964574444,1
pfi,channel,t850_06,mae,-5.588531494140625e-05,0.0004799313729707956,1
pfi,channel,t850_06,nll,0.0008996725082397461,0.00018744348296596654,1
pfi,channel,t850_06,crps,0.00032977445463922006,0.00026162390687019515,1
pfi,channel,t700_06,mae,0.001129007339477539,0.0003741965388039847,1
pfi,channel,t700_06,nll,0.001140451431274414,0.0004287223863076848,1
pfi,channel,t700_06,crps,0.0009335680085192477,0.00032130309832753063,1
pfi,channel,t500_06,mae,-0.0027225732803344725,0.0007482397792180806,1
pfi,channel,t500_06,nll,-0.0012182950973510741,0.0006065709467000679,1
pfi,channel,t500_06,crps,-0.0014251335481178407,0.0005233789738108835,1
pfi,channel,t300_06,mae,-0.00014460086822509766,0.0001796684826621775,1
pfi,channel,t300_06,nll,-0.00011913776397705078,0.00010707316008772377,1
pfi,channel,t300_06,crps,-0.0001338704088694964,9.518447636808177e-05,1
pfi,channel,t1000_12,mae,0.33026933670043945,0.02037576301132181,1
pfi,channel,t1000_12,nll,0.18615381717681884,0.010861352594833165,1
pfi,channel,t1000_12,crps,0.2072479979547448,0.012412470404047686,1
pfi,channel,t925_12,mae,0.23241279125213624,0.015517045626478588,1
pfi,channel,t925_12,nll,0.12183115482330323,0.007990337168787718,1
pfi,channel,t925_12,crps,0.13907068637296413,0.008934722026867264,1
pfi,channel,t850_12,mae,0.010289573669433593,0.0016523033917376056,1
pfi,channel,t850_12,nll,0.004693317413330078,0.0008833584371864602,1
pfi,channel,t850_12,crps,0.004991423616312241,0.0010325615876270755,1
pfi,channel,t700_12,mae,-0.000946807861328125,0.00014513435253051758,1
pfi,channel,t700_12,nll,-0.0005336999893188477,0.00018399733533426975,1
pfi,channel,t700_12,crps,-0.0005229008875143659,0.00010129433646407092,1
pfi,channel,t500_12,mae,-0.002495598793029785,0.0003548397065016878,1
pfi,channel,t500_12,nll,-0.0014580249786376952,0.0003101139098899094,1
pfi,channel,t500_12,crps,-0.0014985981949121152,0.0002622487267681577,1
pfi,channel,t300_12,mae,-0.002423000335693359,0.0007348302604198157,1
pfi,channel,t300_12,nll,-0.0013607263565063477,0.00040020001700465384,1
pfi,channel,t300_12,crps,-0.0013404113558966202,0.00040632474382473066,1
pfi,channel,t1000_15,mae,0.23801674842834472,0.01678462971935601,1
pfi,channel,t1000_15,nll,0.12483446598052979,0.011159063689374396,1
pfi,channel,t1000_15,crps,0.14312387655661052,0.01145441567717915,1
pfi,channel,t925_15,mae,0.20679030418395997,0.015365000507714156,1
pfi,channel,t925_15,nll,0.1035259485244751,0.005746911294875197,1
pfi,channel,t925_15,crps,0.12072645553472552,0.007601666655988331,1
pfi,channel,t850_15,mae,0.006344294548034668,0.0064102478831865,1
pfi,channel,t850_15,nll,0.0036539316177368166,0.0033159481898907685,1
pfi,channel,t850_15,crps,0.0031593203995821106,0.0037665310053997003,1
pfi,channel,t700_15,mae,-0.0018714189529418946,0.0006584236590068598,1
pfi,channel,t700_15,nll,-0.0002826690673828125,0.00039972060035518863,1
pfi,channel,t700_15,crps,-0.0007692300126114215,0.0003940241786443822,1
pfi,channel,t500_15,mae,-0.0007322788238525391,0.00029161577079755036,1
pfi,channel,t500_15,nll,-0.0003309965133666992,0.00024028153473072545,1
pfi,channel,t500_15,crps,-0.00040856103592525896,0.00018115240292094676,1
pfi,channel,t300_15,mae,-0.0033415079116821287,0.0011241882028155624,1
pfi,channel,t300_15,nll,-0.001168966293334961,0.0005294617058330762,1
pfi,channel,t300_15,crps,-0.0015746224287801701,0.0005893554676492465,1
pfi,channel,t1000_18,mae,0.13519008159637452,0.011269823595431914,1
pfi,channel,t1000_18,nll,0.06633832454681396,0.005783012429518401,1
pfi,channel,t1000_18,crps,0.07761156134239608,0.006482836248182558,1
pfi,channel,t925_18,mae,0.09843933582305908,0.004362365250435793,1
pfi,channel,t925_18,nll,0.04648058414459229,0.0020253363371975698,1
