method,grouping,feature,metric,importance,std,n_channels
lime,channel,z1000_00,pred_tmax_degC,-0.03067198816141595,0.0549965967364459,1
lime,channel,z925_00,pred_tmax_degC,0.023502323952072267,0.033072722212836136,1
lime,channel,z850_00,pred_tmax_degC,-0.00953765828652779,0.02246353006625293,1
lime,channel,z700_00,pred_tmax_degC,-0.0478848170705101,0.07513268062793332,1
lime,channel,z500_00,pred_tmax_degC,-0.010728800634756504,0.024415197139533926,1
lime,channel,z300_00,pred_tmax_degC,0.008221893948217648,0.012332487552564352,1
lime,channel,z1000_06,pred_tmax_degC,0.00973880114516374,0.02148655078854913,1
lime,channel,z925_06,pred_tmax_degC,0.11773411809925859,0.18894980615725543,1
lime,channel,z850_06,pred_tmax_degC,0.0798226123349979,0.12136666599145507,1
lime,channel,z700_06,pred_tmax_degC,-0.04294631289142249,0.06146128117045576,1
lime,channel,z500_06,pred_tmax_degC,-0.016975210531605958,0.03567987433356035,1
lime,channel,z300_06,pred_tmax_degC,-0.01864165242390871,0.05060339157744551,1
lime,channel,z1000_12,pred_tmax_degC,-0.15091879359611293,0.38458461711461467,1
lime,channel,z925_12,pred_tmax_degC,-0.017665940065029143,0.05119728015930386,1
lime,channel,z850_12,pred_tmax_degC,0.07149201422146162,0.10363547359619005,1
lime,channel,z700_12,pred_tmax_degC,0.009059155268235936,0.029339842776281662,1
lime,channel,z500_12,pred_tmax_degC,0.03878199024298568,0.06022190194442388,1
lime,channel,z300_12,pred_tmax_degC,0.00908281696220891,0.018743577501377503,1
lime,channel,z1000_15,pred_tmax_degC,-0.08539885285583079,0.22808768958081552,1
lime,channel,z925_15,pred_tmax_degC,-0.004721315667618195,0.004244624356567867,1
lime,channel,z850_15,pred_tmax_degC,0.02406809948143878,0.04472722039560167,1
lime,channel,z700_15,pred_tmax_degC,-0.03209836117085131,0.03328583778198631,1
lime,channel,z500_15,pred_tmax_degC,0.03083617927431162,0.043579870105421886,1
lime,channel,z300_15,pred_tmax_degC,0.03201271333527393,0.07204577683961093,1
lime,channel,z1000_18,pred_tmax_degC,0.01305221520754405,0.019173260853608202,1
lime,channel,z925_18,pred_tmax_degC,0.09702083138366424,0.16484912418966177,1
lime,channel,z850_18,pred_tmax_degC,0.11629459031583682,0.18483983287589528,1
lime,channel,z700_18,pred_tmax_degC,-0.008511639932622042,0.033578457698274784,1
lime,channel,z500_18,pred_tmax_degC,0.005081073284155271,0.018595029900075687,1
lime,channel,z300_18,pred_tmax_degC,0.026370692129125954,0.03918164460436179,1
lime,channel,t1000_00,pred_tmax_degC,0.051860774249346285,0.1758153117250661,1
lime,channel,t925_00,pred_tmax_degC,0.052240572836282126,0.13741793597021926,1
lime,channel,t850_00,pred_tmax_degC,-0.02906520764134696,0.06456965535513015,1
lime,channel,t700_00,pred_tmax_degC,0.022444187947551313,0.04540827347381889,1
lime,channel,t500_00,pred_tmax_degC,0.018929153350566608,0.04620800328114028,1
lime,channel,t300_00,pred_tmax_degC,0.0032788425052690503,0.02080529326266592,1
