method,grouping,feature,metric,importance,std,n_channels
pfi,channel,z1000_00,mae,0.007522714138031006,0.0009020916341056973,1
pfi,channel,z1000_00,nll,0.006856989860534668,0.0006875589358287776,1
pfi,channel,z1000_00,crps,0.005022339072753757,0.0005285107712139685,1
pfi,channel,z925_00,mae,0.01636378765106201,0.0010997522399842764,1
pfi,channel,z925_00,nll,0.010628843307495117,0.0010357209997125555,1
pfi,channel,z925_00,crps,0.009651170448432667,0.000693432342300331,1
pfi,channel,z850_00,mae,0.0045606732368469235,0.0005569235080448568,1
pfi,channel,z850_00,nll,0.005042576789855957,0.0002584492522173435,1
pfi,channel,z850_00,crps,0.003192769834648934,0.0003479442481219034,1
pfi,channel,z700_00,mae,0.001665210723876953,0.00044697439516286656,1
pfi,channel,z700_00,nll,0.0006709575653076171,0.0001806401552520868,1
pfi,channel,z700_00,crps,0.0006863267856002331,0.00019658764944505665,1
pfi,channel,z500_00,mae,0.0031122803688049317,0.0008281132478906383,1
pfi,channel,z500_00,nll,0.0028973817825317383,0.0005597613314546627,1
pfi,channel,z500_00,crps,0.001938845010616186,0.0005022912155383007,1
pfi,channel,z300_00,mae,0.008955657482147217,0.0015351243790541133,1
pfi,channel,z300_00,nll,0.005754446983337403,0.0010189195024876583,1
pfi,channel,z300_00,crps,0.005100110731695517,0.0008588057470204107,1
pfi,channel,z1000_06,mae,0.005985903739929199,0.0009745704789122651,1
pfi,channel,z1000_06,nll,0.0046770572662353516,0.0006640047872327999,1
pfi,channel,z1000_06,crps,0.0038540267988659504,0.0005791498461053057,1
pfi,channel,z925_06,mae,0.07507649660110474,0.005287154188938014,1
pfi,channel,z925_06,nll,0.05471913814544678,0.004211844972028984,1
pfi,channel,z925_06,crps,0.04643237489177128,0.003211249098824602,1
pfi,channel,z850_06,mae,0.047248375415802,0.0012554815193885076,1
pfi,channel,z850_06,nll,0.03334205150604248,0.0012373924406966722,1
pfi,channel,z850_06,crps,0.028280191644853358,0.0007820723825754047,1
pfi,channel,z700_06,mae,0.009797513484954834,0.001692730702902661,1
pfi,channel,z700_06,nll,0.008977055549621582,0.0013512422810173584,1
pfi,channel,z700_06,crps,0.0063891711895397,0.0010998169397058387,1
pfi,channel,z500_06,mae,0.009670794010162354,0.0011483913883161472,1
pfi,channel,z500_06,nll,0.008449721336364745,0.0010114419795524848,1
pfi,channel,z500_06,crps,0.00624995656765639,0.0007019969640194973,1
pfi,channel,z300_06,mae,-5.14984130859375e-06,0.0005569709543429312,1
pfi,channel,z300_06,nll,0.00038902759552001954,0.00054585111580194,1
pfi,channel,z300_06,crps,0.0001901264465815622,0.0003905192528571087,1
pfi,channel,z1000_12,mae,0.15021451711654663,0.008201754205507204,1
pfi,channel,z1000_12,nll,0.1277280330657959,0.009737523943329135,1
pfi,channel,z1000_12,crps,0.09912752309579358,0.0064766057544457635,1
pfi,channel,z925_12,mae,0.005699026584625244,0.001502721811779093,1
pfi,channel,z925_12,nll,0.004993414878845215,0.0014100951281850748,1
pfi,channel,z925_12,crps,0.003931793750660639,0.0009255598028522649,1
pfi,channel,z850_12,mae,0.03555395603179932,0.0035040998500017457,1
pfi,channel,z850_12,nll,0.022744393348693846,0.0021524144703927413,1
pfi,channel,z850_12,crps,0.02076133332472143,0.0019939249448014786,1
pfi,channel,z700_12,mae,0.013747894763946533,0.0008265412352314534,1
pfi,channel,z700_12,nll,0.011462521553039551,0.0006959068499896735,1
pfi,channel,z700_12,crps,0.008528068213055517,0.0005310901001363014,1
pfi,channel,z500_12,mae,0.020149815082550048,0.001203135399779301,1
pfi,channel,z500_12,nll,0.017647671699523925,0.0008820174628595855,1
pfi,channel,z500_12,crps,0.012913968655036068,0.0006941237505978417,1
pfi,channel,z300_12,mae,0.004351675510406494,0.00024431292581496885,1
pfi,channel,z300_12,nll,0.003497409820556641,0.00017139630581361573,1
pfi,channel,z300_12,crps,0.0026795558521126805,0.00012068475606184671,1
pfi,channel,z1000_15,mae,0.053893864154815674,0.002493116591457736,1
pfi,channel,z1000_15,nll,0.04068403244018555,0.0017821453174250545,1
pfi,channel,z1000_15,crps,0.033954990149064515,0.001622501927971821,1
pfi,channel,z925_15,mae,0.0020609617233276365,0.00026224105232297855,1
pfi,channel,z925_15,nll,0.0029169559478759766,0.00023465605917327305,1
pfi,channel,z925_15,crps,0.0017855480469429307,0.0001684663121831166,1
pfi,channel,z850_15,mae,0.014215528964996338,0.0009436076167305872,1
