method,grouping,feature,metric,importance,std,n_channels
pfi,channel,z1000_00,mae,0.020761775970458984,0.0033406971255903854,1
pfi,channel,z1000_00,nll,0.01417372226715088,0.0014969076633301163,1
pfi,channel,z1000_00,crps,0.013428695698644355,0.001670520014548325,1
pfi,channel,z925_00,mae,0.014347553253173828,0.001956466121436108,1
pfi,channel,z925_00,nll,0.008484673500061036,0.001109292435838882,1
pfi,channel,z925_00,crps,0.007956365228874085,0.001090020712099155,1
pfi,channel,z850_00,mae,0.005228447914123535,0.0004268448951758264,1
pfi,channel,z850_00,nll,0.0040635824203491214,0.00039933495987036743,1
pfi,channel,z850_00,crps,0.002956822515814417,0.0003194724761931525,1
pfi,channel,z700_00,mae,0.005377435684204101,0.0009978110167839238,1
pfi,channel,z700_00,nll,0.003125309944152832,0.0008781722728257976,1
pfi,channel,z700_00,crps,0.0028445624311829176,0.0006855068638021949,1
pfi,channel,z500_00,mae,0.003120088577270508,0.0013265814336540038,1
pfi,channel,z500_00,nll,0.002355623245239258,0.0010554133293082166,1
pfi,channel,z500_00,crps,0.001772886544038288,0.0009261515831625136,1
pfi,channel,z300_00,mae,0.008636045455932616,0.0011618251323434567,1
pfi,channel,z300_00,nll,0.004478335380554199,0.0011776134061688647,1
pfi,channel,z300_00,crps,0.004482565691210349,0.0008879360685865722,1
pfi,channel,z1000_06,mae,0.00398550033569336,0.0006875141985102865,1
pfi,channel,z1000_06,nll,0.0033303976058959963,0.0005869607170197307,1
pfi,channel,z1000_06,crps,0.0026443110489079214,0.0003873827268370296,1
pfi,channel,z925_06,mae,0.07482068538665772,0.004830223461541632,1
pfi,channel,z925_06,nll,0.05397369861602783,0.003589846843944733,1
pfi,channel,z925_06,crps,0.04671065396590175,0.0030732474510869186,1
pfi,channel,z850_06,mae,0.043688511848449706,0.003553470023210404,1
pfi,channel,z850_06,nll,0.0297196626663208,0.0024263201824427736,1
pfi,channel,z850_06,crps,0.025976038892671926,0.0018259973719468748,1
pfi,channel,z700_06,mae,0.006575393676757813,0.0008776044060684677,1
pfi,channel,z700_06,nll,0.007452273368835449,0.0008028047990824985,1
pfi,channel,z700_06,crps,0.005133390475715682,0.0005920352510612544,1
pfi,channel,z500_06,mae,0.004618716239929199,0.0016719686683280284,1
pfi,channel,z500_06,nll,0.004224896430969238,0.0011828174345678282,1
pfi,channel,z500_06,crps,0.00298104203390408,0.0010256720658038307,1
pfi,channel,z300_06,mae,-0.0015390396118164062,0.00048219344281951246,1
pfi,channel,z300_06,nll,-0.0005614519119262696,0.00037501195795967184,1
pfi,channel,z300_06,crps,-0.0009022150802775019,0.0002450318025700581,1
pfi,channel,z1000_12,mae,0.20257151126861572,0.006356599938628892,1
pfi,channel,z1000_12,nll,0.1755213975906372,0.006751941564339393,1
pfi,channel,z1000_12,crps,0.1375609765341395,0.004271293738151439,1
pfi,channel,z925_12,mae,0.007402229309082031,0.002018209957890682,1
pfi,channel,z925_12,nll,0.005190157890319824,0.0016177437870200724,1
pfi,channel,z925_12,crps,0.004414936029640648,0.0012929051006426511,1
pfi,channel,z850_12,mae,0.03412067890167236,0.002685991510854764,1
pfi,channel,z850_12,nll,0.021864724159240723,0.002059564215462107,1
pfi,channel,z850_12,crps,0.019972650969525052,0.001867454170347685,1
pfi,channel,z700_12,mae,0.01035914421081543,0.0017242530466029646,1
pfi,channel,z700_12,nll,0.008805966377258301,0.0014498692068345156,1
pfi,channel,z700_12,crps,0.006671575177510691,0.001125528327446548,1
pfi,channel,z500_12,mae,0.015797972679138184,0.0016846271515750554,1
pfi,channel,z500_12,nll,0.012497258186340333,0.0015740119888493697,1
pfi,channel,z500_12,crps,0.009765228872059084,0.0012322073008634567,1
pfi,channel,z300_12,mae,0.004392933845520019,0.0005939889903053864,1
pfi,channel,z300_12,nll,0.0031028032302856446,0.00037299508429401197,1
pfi,channel,z300_12,crps,0.00260463792532446,0.0003524460492979042,1
pfi,channel,z1000_15,mae,0.08763189315795898,0.0025354021212432615,1
pfi,channel,z1000_15,nll,0.06203765869140625,0.0014185884191192588,1
pfi,channel,z1000_15,crps,0.054925610441121944,0.0015350623607908113,1
pfi,channel,z925_15,mae,0.0007887840270996094,0.00022839772415920434,1
pfi,channel,z925_15,nll,0.003227710723876953,0.0003364689155838346,1
pfi,channel,z925_15,crps,0.0013523947288216266,0.00019026456739678303,1
pfi,channel,z850_15,mae,0.009809136390686035,0.0012187755465321059,1
pfi,channel,z850_15,nll,0.007477188110351562,0.0010699296058159196,1
pfi,channel,z850_15,crps,0.0058599670121316505,0.0007785101237105813,1
pfi,channel,z700_15,mae,0.002710390090942383,0.0009971391968560247,1
pfi,channel,z700_15,nll,0.0022948026657104493,0.0006635487968135083,1
pfi,channel,z700_15,crps,0.0019120749256352765,0.0006415041227492873,1
pfi,channel,z500_15,mae,0.014233803749084473,0.00142541602020543,1
pfi,channel,z500_15,nll,0.010136699676513672,0.0009616874202687441,1
pfi,channel,z500_15,crps,0.008542281660514583,0.000821392469311468,1
pfi,channel,z300_15,mae,0.02272820472717285,0.002718760753408199,1
pfi,channel,z300_15,nll,0.015356731414794923,0.0020543316532207513,1
pfi,channel,z300_15,crps,0.013441057208663666,0.0017443552529615492,1
pfi,channel,z1000_18,mae,0.009127593040466309,0.0016409601120019866,1
pfi,channel,z1000_18,nll,0.008720922470092773,0.000993305728256915,1
pfi,channel,z1000_18,crps,0.006650646801069038,0.0009557731332028594,1
pfi,channel,z925_18,mae,0.040120291709899905,0.004938692754080221,1
pfi,channel,z925_18,nll,0.029738688468933107,0.00492297966144936,1
pfi,channel,z925_18,crps,0.0251835822681435,0.003500975345181139,1
pfi,channel,z850_18,mae,0.05490477085113525,0.005740957976980067,1
pfi,channel,z850_18,nll,0.040575504302978516,0.004654061857777095,1
pfi,channel,z850_18,crps,0.034036482642022636,0.0035715835023460377,1
pfi,channel,z700_18,mae,0.012244629859924316,0.0010271582185690494,1
pfi,channel,z700_18,nll,0.0092803955078125,0.0005163783972552303,1
pfi,channel,z700_18,crps,0.007513271087036722,0.0004910467067352805,1
pfi,channel,z500_18,mae,0.005163407325744629,0.00014399113179495586,1
pfi,channel,z500_18,nll,0.004202532768249512,0.00021702505567665773,1
pfi,channel,z500_18,crps,0.003398525184648027,0.0001380557918092497,1
pfi,channel,z300_18,mae,0.0110396146774292,0.0020266275632336633,1
pfi,channel,z300_18,nll,0.007234716415405273,0.0014534523615987107,1
pfi,channel,z300_18,crps,0.006550716044067739,0.0012621249445816506,1
pfi,channel,t1000_00,mae,0.2233443260192871,0.0023251688959999963,1
pfi,channel,t1000_00,nll,0.17925193309783935,0.00704217822613268,1
pfi,channel,t1000_00,crps,0.15023085210510853,0.003208065560579433,1
pfi,channel,t925_00,mae,0.13370926380157472,0.007751546392932297,1
pfi,channel,t925_00,nll,0.0971794843673706,0.005586822888868298,1
pfi,channel,t925_00,crps,0.08475936951371496,0.004522681657332925,1
pfi,channel,t850_00,mae,0.012857484817504882,0.003177689497261152,1
pfi,channel,t850_00,nll,0.010113811492919922,0.002231406238264535,1
pfi,channel,t850_00,crps,0.0084684991251204,0.002132887492202667,1
pfi,channel,t700_00,mae,0.023816013336181642,0.002571827793086397,1
pfi,channel,t700_00,nll,0.017237758636474608,0.0017267243250889204,1
pfi,channel,t700_00,crps,0.014548885068320616,0.0015231250885991022,1
pfi,channel,t500_00,mae,0.0112562894821167,0.0023598258873279636,1
pfi,channel,t500_00,nll,0.007356834411621094,0.0016113939600472982,1
pfi,channel,t500_00,crps,0.00645081452412104,0.0013900659306853998,1
pfi,channel,t300_00,mae,0.0010619163513183594,0.0006922894967822681,1
pfi,channel,t300_00,nll,0.00028679370880126955,0.0006184495331235278,1
pfi,channel,t300_00,crps,0.0005937809409305884,0.00047010661050314644,1
pfi,channel,t1000_06,mae,0.0927168607711792,0.006450704631075614,1
pfi,channel,t1000_06,nll,0.07052180767059327,0.0041194160783897685,1
pfi,channel,t1000_06,crps,0.058313800851440556,0.00365070128601385,1
pfi,channel,t925_06,mae,0.03935062885284424,0.002956529188166156,1
pfi,channel,t925_06,nll,0.028565192222595216,0.0024473173828188574,1
pfi,channel,t925_06,crps,0.023353411064009545,0.0019287936936910409,1
pfi,channel,t850_06,mae,0.022162771224975585,0.0011997980736720845,1
pfi,channel,t850_06,nll,0.018307995796203614,0.0007754654671232407,1
pfi,channel,t850_06,crps,0.014597563169455551,0.0006958649352863093,1
pfi,channel,t700_06,mae,0.010875129699707031,0.0013211593566331073,1
pfi,channel,t700_06,nll,0.008543634414672851,0.0010586222766292234,1
pfi,channel,t700_06,crps,0.00675788787975411,0.0008088326905016467,1
pfi,channel,t500_06,mae,0.003247833251953125,0.0008640023002667935,1
pfi,channel,t500_06,nll,0.0021994352340698243,0.00037089046147374433,1
pfi,channel,t500_06,crps,0.002016504228239557,0.0004063876563888445,1
pfi,channel,t300_06,mae,0.0003654956817626953,0.0012027753158437733,1
pfi,channel,t300_06,nll,0.00048439502716064454,0.0008668810476238003,1
pfi,channel,t300_06,crps,0.0003428874202350718,0.0007343563116685595,1
pfi,channel,t1000_12,mae,1.0053966283798217,0.03837960025055598,1
pfi,channel,t1000_12,nll,1.1560484170913696,0.05438972658549615,1
pfi,channel,t1000_12,crps,0.7789173574301845,0.03249215298316641,1
pfi,channel,t925_12,mae,0.7392369508743286,0.037757005550304576,1
pfi,channel,t925_12,nll,0.7469777345657349,0.05223243177452049,1
pfi,channel,t925_12,crps,0.542996871491052,0.030670602997621678,1
pfi,channel,t850_12,mae,0.12418594360351562,0.010763481631183843,1
pfi,channel,t850_12,nll,0.10202205181121826,0.008396412059426645,1
pfi,channel,t850_12,crps,0.0794181392023517,0.00661761946857812,1
pfi,channel,t700_12,mae,0.023552441596984865,0.0015927705119150373,1
pfi,channel,t700_12,nll,0.01854097843170166,0.0013801746217589569,1
pfi,channel,t700_12,crps,0.01454193217780042,0.0010374393898500151,1
pfi,channel,t500_12,mae,0.008472681045532227,0.001487819379825533,1
pfi,channel,t500_12,nll,0.0053315401077270504,0.0011063789935990237,1
pfi,channel,t500_12,crps,0.005345490597874858,0.0010279921341861172,1
pfi,channel,t300_12,mae,-0.0012660741806030274,0.0013010753507174534,1
pfi,channel,t300_12,nll,-0.0005193710327148438,0.000788343292973369,1
pfi,channel,t300_12,crps,-0.0007307732122582511,0.0007273116860828413,1
pfi,channel,t1000_15,mae,0.5129246950149536,0.03195039950597993,1
pfi,channel,t1000_15,nll,0.47422964572906495,0.032493096585366296,1
pfi,channel,t1000_15,crps,0.3639708979444767,0.024109886581201005,1
pfi,channel,t925_15,mae,0.34933059215545653,0.025502279973736264,1
pfi,channel,t925_15,nll,0.2936880350112915,0.02146230467081371,1
pfi,channel,t925_15,crps,0.23501870127465185,0.01730575945237175,1
pfi,channel,t850_15,mae,0.030767321586608887,0.004482322515643382,1
pfi,channel,t850_15,nll,0.024865245819091795,0.0034251330053973314,1
pfi,channel,t850_15,crps,0.019330425782226657,0.002872316431920172,1
pfi,channel,t700_15,mae,0.014830183982849122,0.0008002891987177902,1
pfi,channel,t700_15,nll,0.011555242538452148,0.0005614618159951428,1
pfi,channel,t700_15,crps,0.009374334224793012,0.0005049897028487943,1
pfi,channel,t500_15,mae,0.012359237670898438,0.0007311814570184683,1
pfi,channel,t500_15,nll,0.008345341682434082,0.0005034364563072396,1
pfi,channel,t500_15,crps,0.007673734720870762,0.0004984362226133851,1
pfi,channel,t300_15,mae,0.019469356536865233,0.0022651459045805395,1
pfi,channel,t300_15,nll,0.012573909759521485,0.001571535299320204,1
pfi,channel,t300_15,crps,0.011344158143726756,0.0014237584401445924,1
pfi,channel,t1000_18,mae,0.19166932106018067,0.006933276530585303,1
pfi,channel,t1000_18,nll,0.14541659355163575,0.0055637926184252924,1
pfi,channel,t1000_18,crps,0.12272608622034491,0.004721239524256671,1
pfi,channel,t925_18,mae,0.08338499069213867,0.004904734803811711,1
pfi,channel,t925_18,nll,0.0595393180847168,0.0042471453162164835,1
pfi,channel,t925_18,crps,0.050053097201507454,0.0033588066159055668,1
pfi,channel,t850_18,mae,0.017451667785644533,0.0026116928761874426,1
pfi,channel,t850_18,nll,0.0165055513381958,0.0023379750056331115,1
pfi,channel,t850_18,crps,0.013151913266922843,0.0018652034678387096,1
pfi,channel,t700_18,mae,0.01196458339691162,0.0017887233660953872,1
pfi,channel,t700_18,nll,0.007204651832580566,0.0013440878343652257,1
pfi,channel,t700_18,crps,0.007083016371949036,0.0011088426907247591,1
pfi,channel,t500_18,mae,0.0017972230911254884,0.0016962934577004274,1
pfi,channel,t500_18,nll,0.0015285491943359375,0.0015133295117707396,1
pfi,channel,t500_18,crps,0.0013248383788296181,0.0011478189877363613,1
pfi,channel,t300_18,mae,-0.0011466741561889648,0.000889724258215444,1
pfi,channel,t300_18,nll,-0.0003615379333496094,0.0008619547566216618,1
pfi,channel,t300_18,crps,-0.00044217022893509037,0.0006516763272143449,1
pfi,channel,q1000_00,mae,0.010633540153503419,0.0020652870726842218,1
pfi,channel,q1000_00,nll,0.008819818496704102,0.002321637635069151,1
pfi,channel,q1000_00,crps,0.007039694808390107,0.001516379327293675,1
pfi,channel,q925_00,mae,0.0022883176803588866,0.0008024235809648707,1
pfi,channel,q925_00,nll,0.002305126190185547,0.0005335925910995871,1
pfi,channel,q925_00,crps,0.0016898314822964445,0.00045938416514938887,1
pfi,channel,q850_00,mae,0.004609417915344238,0.0007639373667964169,1
pfi,channel,q850_00,nll,0.004242372512817383,0.0009481864644465573,1
pfi,channel,q850_00,crps,0.002751966252947735,0.0006041609838133089,1
pfi,channel,q700_00,mae,0.004558658599853516,0.0016457260515800986,1
pfi,channel,q700_00,nll,0.0031829118728637696,0.0012254023054643127,1
pfi,channel,q700_00,crps,0.0027668126815248105,0.0010278114465980578,1
pfi,channel,q500_00,mae,0.0014020919799804688,0.00033846209671915497,1
pfi,channel,q500_00,nll,0.000843954086303711,0.0003345778609368713,1
pfi,channel,q500_00,crps,0.0008101069799709038,0.00022822587194392855,1
pfi,channel,q300_00,mae,-0.0006105661392211914,0.0006266105711136803,1
pfi,channel,q300_00,nll,-6.814002990722657e-05,0.0003214308370190673,1
pfi,channel,q300_00,crps,-0.00010121920640411286,0.0003392429797300477,1
pfi,channel,q1000_06,mae,0.036405396461486814,0.0033201004264546527,1
pfi,channel,q1000_06,nll,0.026514935493469238,0.0026356232775996678,1
pfi,channel,q1000_06,crps,0.022348878309387855,0.0022365700131792093,1
pfi,channel,q925_06,mae,0.004324603080749512,0.0010171706262850685,1
pfi,channel,q925_06,nll,0.003072643280029297,0.0006465158385215742,1
pfi,channel,q925_06,crps,0.0026719069772907613,0.0006343012698402329,1
pfi,channel,q850_06,mae,0.0060241460800170895,0.0012783132175290452,1
pfi,channel,q850_06,nll,0.004992151260375976,0.0006906261741872209,1
pfi,channel,q850_06,crps,0.004245950542009535,0.0006258729192651045,1
