method,grouping,feature,metric,importance,std,n_channels
lime,channel,z1000_00,pred_tmax_degC,-0.02047645395665853,0.033869515723744165,1
lime,channel,z925_00,pred_tmax_degC,0.014112243810029394,0.02579846475023754,1
lime,channel,z850_00,pred_tmax_degC,0.005414299308068303,0.009557976337389328,1
lime,channel,z700_00,pred_tmax_degC,-0.049022872743408406,0.0796891884481574,1
lime,channel,z500_00,pred_tmax_degC,-0.0057242743975121505,0.027189610342997224,1
lime,channel,z300_00,pred_tmax_degC,0.006361664836079656,0.02747668317418218,1
lime,channel,z1000_06,pred_tmax_degC,0.020529223398173736,0.03368443789944984,1
lime,channel,z925_06,pred_tmax_degC,0.05032672217310834,0.07979657448156074,1
lime,channel,z850_06,pred_tmax_degC,0.020085541871235978,0.0321905305157964,1
lime,channel,z700_06,pred_tmax_degC,-0.023727945785109176,0.04181687310345977,1
lime,channel,z500_06,pred_tmax_degC,-0.01758064608362878,0.03458935183373618,1
lime,channel,z300_06,pred_tmax_degC,-0.012642252905348095,0.026283278534813173,1
lime,channel,z1000_12,pred_tmax_degC,-0.11466032005800203,0.28677742178007515,1
lime,channel,z925_12,pred_tmax_degC,-0.017707379129026687,0.034570914228960095,1
lime,channel,z850_12,pred_tmax_degC,0.06033307874886627,0.08679795453460538,1
lime,channel,z700_12,pred_tmax_degC,0.03474759815000519,0.05114719387574089,1
lime,channel,z500_12,pred_tmax_degC,0.041753374585151465,0.06461461025791095,1
lime,channel,z300_12,pred_tmax_degC,0.004816482793724397,0.02600096873681842,1
lime,channel,z1000_15,pred_tmax_degC,-0.07765579377273657,0.20087896019484433,1
lime,channel,z925_15,pred_tmax_degC,7.01971531855603e-05,0.011929974465057178,1
lime,channel,z850_15,pred_tmax_degC,0.06030139210235523,0.08973566758026731,1
lime,channel,z700_15,pred_tmax_degC,0.016254134620838287,0.03417721982365794,1
lime,channel,z500_15,pred_tmax_degC,0.031117458248818564,0.05057629690298444,1
lime,channel,z300_15,pred_tmax_degC,0.017104490177628766,0.02707509857514237,1
lime,channel,z1000_18,pred_tmax_degC,-0.007427804418575299,0.016501601661521863,1
lime,channel,z925_18,pred_tmax_degC,0.05890769426171752,0.10406410407639402,1
lime,channel,z850_18,pred_tmax_degC,0.10303882282566545,0.1651653142385869,1
lime,channel,z700_18,pred_tmax_degC,0.0375548826430063,0.057001292540467874,1
lime,channel,z500_18,pred_tmax_degC,0.034583595756423786,0.04949572789015299,1
lime,channel,z300_18,pred_tmax_degC,0.023971144480647157,0.05204952577970452,1
