method,grouping,feature,metric,importance,std,n_channels
pfi,channel,z1000_00,mae,0.005713248252868652,0.0006166284021667513,1
pfi,channel,z1000_00,nll,0.004356026649475098,0.0005012354993913136,1
pfi,channel,z1000_00,crps,0.003693503521679964,0.00036077664244453745,1
pfi,channel,z925_00,mae,0.005312955379486084,0.0008028895078300789,1
pfi,channel,z925_00,nll,0.003922319412231446,0.00044248040697833534,1
pfi,channel,z925_00,crps,0.0029138274212391567,0.0005061170785086902,1
pfi,channel,z850_00,mae,0.008007073402404785,0.0008907474485115793,1
pfi,channel,z850_00,nll,0.005198478698730469,0.000595867153858008,1
pfi,channel,z850_00,crps,0.004377864329798897,0.0005815805665064422,1
pfi,channel,z700_00,mae,0.003702402114868164,0.0007952157474593475,1
pfi,channel,z700_00,nll,0.0023541688919067384,0.0004915588854930026,1
pfi,channel,z700_00,crps,0.002195894277679611,0.0005074383035745837,1
pfi,channel,z500_00,mae,0.0066972851753234865,0.001177271066117177,1
pfi,channel,z500_00,nll,0.00323793888092041,0.0007244314428572189,1
pfi,channel,z500_00,crps,0.0033365174720681344,0.0006687548610826645,1
pfi,channel,z300_00,mae,0.006444025039672852,0.0009086435083530033,1
pfi,channel,z300_00,nll,0.003490900993347168,0.0006906535489771291,1
pfi,channel,z300_00,crps,0.0033659768955709656,0.0005793749754099258,1
pfi,channel,z1000_06,mae,0.001453101634979248,0.0003005274441059713,1
pfi,channel,z1000_06,nll,0.001860189437866211,0.0002840987485128858,1
pfi,channel,z1000_06,crps,0.0010035118339966065,0.00017883202075368528,1
pfi,channel,z925_06,mae,0.015214347839355468,0.002067615262217814,1
pfi,channel,z925_06,nll,0.010049581527709961,0.0017814097626715664,1
pfi,channel,z925_06,crps,0.008248675803688755,0.0014483466417981525,1
pfi,channel,z850_06,mae,0.00844869613647461,0.0010654051044113452,1
pfi,channel,z850_06,nll,0.004718255996704101,0.0006156021942694656,1
pfi,channel,z850_06,crps,0.004249869077617108,0.0005709193362672949,1
pfi,channel,z700_06,mae,0.0028294086456298827,0.0005475421895338168,1
pfi,channel,z700_06,nll,0.0021288156509399413,0.00038610024258497056,1
pfi,channel,z700_06,crps,0.0017402788430460393,0.0002946248896404219,1
pfi,channel,z500_06,mae,0.002088773250579834,0.00036934145255836955,1
pfi,channel,z500_06,nll,0.0015868186950683595,0.00022855519789547534,1
pfi,channel,z500_06,crps,0.0011685487230204572,0.00015860591443883095,1
pfi,channel,z300_06,mae,0.00215686559677124,0.0005688243946240812,1
pfi,channel,z300_06,nll,0.0012126684188842774,0.0003908243903858092,1
pfi,channel,z300_06,crps,0.0011704872281916412,0.00032617645758883983,1
pfi,channel,z1000_12,mae,0.12216589450836182,0.006616359683056829,1
pfi,channel,z1000_12,nll,0.09550395011901855,0.0076791081430445185,1
pfi,channel,z1000_12,crps,0.07630822087285852,0.005013619368349645,1
pfi,channel,z925_12,mae,0.0035933256149291992,0.0008899877581176986,1
pfi,channel,z925_12,nll,0.003256392478942871,0.0006754946383478414,1
pfi,channel,z925_12,crps,0.0023621794760814384,0.0005252177485536415,1
pfi,channel,z850_12,mae,0.013333487510681152,0.0020595415249080517,1
pfi,channel,z850_12,nll,0.008940911293029786,0.001095602687618629,1
pfi,channel,z850_12,crps,0.007239405398457577,0.0010576128839878108,1
pfi,channel,z700_12,mae,0.01462693214416504,0.0014381789068159613,1
pfi,channel,z700_12,nll,0.010252428054809571,0.0010329192589960757,1
pfi,channel,z700_12,crps,0.008135125922638053,0.0008531339681865569,1
pfi,channel,z500_12,mae,0.014675319194793701,0.0007629362931409603,1
pfi,channel,z500_12,nll,0.010130786895751953,0.0006732791086458749,1
pfi,channel,z500_12,crps,0.008199022743810546,0.0004878846092247661,1
pfi,channel,z300_12,mae,0.00572437047958374,0.0002947893015341637,1
pfi,channel,z300_12,nll,0.0035135030746459963,0.00020996262286221586,1
pfi,channel,z300_12,crps,0.003106369957423327,0.00016268435997212062,1
pfi,channel,z1000_15,mae,0.06284630298614502,0.0025117363036362703,1
pfi,channel,z1000_15,nll,0.04469554424285889,0.0018346649604260466,1
