method,grouping,feature,metric,importance,std,n_channels
lime,channel,z1000_00,pred_tmax_degC,-0.02381541505407149,0.08941035239956407,1
lime,channel,z925_00,pred_tmax_degC,0.0017046878700489043,0.047884077303990746,1
lime,channel,z850_00,pred_tmax_degC,-0.001688909459948055,0.038427524000097545,1
lime,channel,z700_00,pred_tmax_degC,-0.03833976889168911,0.08219320210607667,1
lime,channel,z500_00,pred_tmax_degC,-0.004552655819566808,0.02947609362431704,1
lime,channel,z300_00,pred_tmax_degC,-0.007086783167864739,0.045529393570823654,1
lime,channel,z1000_06,pred_tmax_degC,0.017023412107724584,0.02724486064599881,1
lime,channel,z925_06,pred_tmax_degC,0.024740601932159073,0.14463067971424692,1
lime,channel,z850_06,pred_tmax_degC,0.00687830371048705,0.07315834407534101,1
lime,channel,z700_06,pred_tmax_degC,-0.008596406484673969,0.04193610515736351,1
lime,channel,z500_06,pred_tmax_degC,-0.0002366058316846508,0.016036811231344258,1
lime,channel,z300_06,pred_tmax_degC,-0.011501351204302226,0.01904750276929356,1
lime,channel,z1000_12,pred_tmax_degC,0.0035493325394223563,0.5734714775374512,1
lime,channel,z925_12,pred_tmax_degC,0.0010047041230220582,0.07917512264767394,1
lime,channel,z850_12,pred_tmax_degC,0.018195029943908904,0.14514157060928634,1
lime,channel,z700_12,pred_tmax_degC,0.0068565470291720755,0.11725365731995852,1
lime,channel,z500_12,pred_tmax_degC,0.00396714447629905,0.11085900412878268,1
lime,channel,z300_12,pred_tmax_degC,-0.008987531460174388,0.04381034591812456,1
lime,channel,z1000_15,pred_tmax_degC,0.015151313122786447,0.40343327582925376,1
lime,channel,z925_15,pred_tmax_degC,0.018686399696507924,0.028757548839811332,1
lime,channel,z850_15,pred_tmax_degC,0.014940190796781432,0.16495458745414635,1
lime,channel,z700_15,pred_tmax_degC,0.012025028050825368,0.08714043318307249,1
lime,channel,z500_15,pred_tmax_degC,-0.0008210092307677904,0.0886115527845355,1
lime,channel,z300_15,pred_tmax_degC,0.002448646005464454,0.05725879968396197,1
lime,channel,z1000_18,pred_tmax_degC,-0.0008031814118275513,0.06505229238240648,1
lime,channel,z925_18,pred_tmax_degC,0.018105270821063384,0.1790331459823545,1
lime,channel,z850_18,pred_tmax_degC,0.01872676008312424,0.2959131555074579,1
lime,channel,z700_18,pred_tmax_degC,-0.002472636984803739,0.11919462100618124,1
lime,channel,z500_18,pred_tmax_degC,-0.013705187652888957,0.08398104661073377,1
lime,channel,z300_18,pred_tmax_degC,-0.017077153254298694,0.08329524979103463,1
lime,channel,t1000_00,pred_tmax_degC,0.004189475917993624,0.5172965810305092,1
lime,channel,t925_00,pred_tmax_degC,0.06044249289647814,0.38849148441274606,1
lime,channel,t850_00,pred_tmax_degC,-0.012708881949844066,0.11643286692670203,1
lime,channel,t700_00,pred_tmax_degC,-0.0005815062841184331,0.06449709004317701,1
lime,channel,t500_00,pred_tmax_degC,-0.027425880931700335,0.08172188074662963,1
lime,channel,t300_00,pred_tmax_degC,-0.022869270591108423,0.055394550634249314,1
lime,channel,t1000_06,pred_tmax_degC,0.048255044595670434,0.3030760304989715,1
lime,channel,t925_06,pred_tmax_degC,0.08025797187062651,0.23651025858453392,1
lime,channel,t850_06,pred_tmax_degC,0.016871404948893724,0.09271057790510716,1
lime,channel,t700_06,pred_tmax_degC,0.00783763138469782,0.04776483519905368,1
