method,grouping,feature,metric,importance,std,n_channels
pfi,channel,z1000_00,mae,0.01058962345123291,0.002490190716588955,1
pfi,channel,z1000_00,nll,0.008767175674438476,0.0017581834283115654,1
pfi,channel,z1000_00,crps,0.007614951056133213,0.0015256646944551019,1
pfi,channel,z925_00,mae,0.0018514156341552734,0.0016328026569897012,1
pfi,channel,z925_00,nll,0.0005963802337646485,0.0011250236081514,1
pfi,channel,z925_00,crps,0.0006320032643759132,0.0009461265163206828,1
pfi,channel,z850_00,mae,0.0052722454071044925,0.0009288194083451163,1
pfi,channel,z850_00,nll,0.00346682071685791,0.0006013698719862305,1
pfi,channel,z850_00,crps,0.0027885540604570603,0.0005076676825323011,1
pfi,channel,z700_00,mae,0.006021714210510254,0.0008996425589937827,1
pfi,channel,z700_00,nll,0.0051527261734008786,0.0009783864985020883,1
pfi,channel,z700_00,crps,0.004064956109461027,0.0007274541965195443,1
pfi,channel,z500_00,mae,0.0025426864624023436,0.0011906870720831825,1
pfi,channel,z500_00,nll,0.0007076740264892578,0.0014234805366659274,1
pfi,channel,z500_00,crps,0.0010926094318152169,0.0007794954049444781,1
pfi,channel,z300_00,mae,0.002402043342590332,0.0007967997759983775,1
pfi,channel,z300_00,nll,0.0004819631576538086,0.0014902785212710786,1
pfi,channel,z300_00,crps,0.0009640594493921073,0.0006547464264220187,1
pfi,channel,z1000_06,mae,-0.0017207145690917968,0.00034534076996794517,1
pfi,channel,z1000_06,nll,-0.0010371208190917969,0.0005440824810064962,1
pfi,channel,z1000_06,crps,-0.0010371798785435925,0.00026452827805632974,1
pfi,channel,z925_06,mae,0.006212306022644043,0.002462536417077033,1
pfi,channel,z925_06,nll,0.0033852338790893556,0.001918315169765481,1
pfi,channel,z925_06,crps,0.0031083373687257774,0.0015234008195601928,1
pfi,channel,z850_06,mae,0.0037178754806518554,0.0007684850142573905,1
pfi,channel,z850_06,nll,0.0007070064544677735,0.0006961555198214406,1
pfi,channel,z850_06,crps,0.0015967619641096941,0.0004525824848828931,1
pfi,channel,z700_06,mae,0.0012133121490478516,0.0006741060962366873,1
pfi,channel,z700_06,nll,0.0010914325714111329,0.0006195401011527087,1
pfi,channel,z700_06,crps,0.0010568322416523168,0.000454358136553747,1
pfi,channel,z500_06,mae,-0.0009589910507202149,0.0005270113697514051,1
pfi,channel,z500_06,nll,-0.0001065969467163086,0.00046084791381407954,1
pfi,channel,z500_06,crps,-0.0005340618412362552,0.00026126052769151074,1
pfi,channel,z300_06,mae,0.002548837661743164,0.00045167113565457916,1
pfi,channel,z300_06,nll,0.0022150993347167967,0.00035766794933786655,1
pfi,channel,z300_06,crps,0.001433120248254771,0.00028853827665223115,1
pfi,channel,z1000_12,mae,0.15248851776123046,0.00819571290159408,1
