method,grouping,feature,metric,importance,std,n_channels
lime,channel,z1000_00,pred_tmax_degC,-0.041245730138780655,0.07572913127413228,1
lime,channel,z925_00,pred_tmax_degC,0.0324869107498381,0.04739735134937343,1
lime,channel,z850_00,pred_tmax_degC,-0.0039958255276366485,0.0072723630233646475,1
lime,channel,z700_00,pred_tmax_degC,-0.03501836422505443,0.054969932773098154,1
lime,channel,z500_00,pred_tmax_degC,-0.00772782402510135,0.01925573051349747,1
lime,channel,z300_00,pred_tmax_degC,0.0021490207285348407,0.014548569732706483,1
lime,channel,z1000_06,pred_tmax_degC,0.021871182377820403,0.038116757480820815,1
lime,channel,z925_06,pred_tmax_degC,0.046481976744111045,0.07759409890327969,1
lime,channel,z850_06,pred_tmax_degC,0.012544779816196047,0.021001709861127486,1
lime,channel,z700_06,pred_tmax_degC,-0.0075285390657277625,0.019968513659493075,1
lime,channel,z500_06,pred_tmax_degC,-0.008301818110614605,0.015450047509710583,1
lime,channel,z300_06,pred_tmax_degC,-0.003128695665355257,0.011254560605993398,1
lime,channel,z1000_12,pred_tmax_degC,-0.08641523662049469,0.21527034411883225,1
lime,channel,z925_12,pred_tmax_degC,0.003082298359709419,0.0048670164985244865,1
lime,channel,z850_12,pred_tmax_degC,0.041917887908127616,0.059879830545784836,1
lime,channel,z700_12,pred_tmax_degC,0.012538540557901236,0.019068011207223838,1
lime,channel,z500_12,pred_tmax_degC,0.019715781139871682,0.029395976770188594,1
lime,channel,z300_12,pred_tmax_degC,0.004743653644409147,0.010699389403017595,1
lime,channel,z1000_15,pred_tmax_degC,-0.044844424159064776,0.11370048027613655,1
lime,channel,z925_15,pred_tmax_degC,0.007390179580217872,0.010396803443390145,1
lime,channel,z850_15,pred_tmax_degC,0.044718883371560644,0.06501845702860032,1
lime,channel,z700_15,pred_tmax_degC,-0.007054537694380576,0.010437353927084865,1
lime,channel,z500_15,pred_tmax_degC,0.027200216972194047,0.03512255033445191,1
lime,channel,z300_15,pred_tmax_degC,0.010884687686899788,0.023769890822228162,1
lime,channel,z1000_18,pred_tmax_degC,0.007731603308590293,0.013427222622743852,1
lime,channel,z925_18,pred_tmax_degC,0.03248143268725408,0.060388474922798016,1
lime,channel,z850_18,pred_tmax_degC,0.06234926750106198,0.10074981980130096,1
lime,channel,z700_18,pred_tmax_degC,0.022814139960846105,0.030364524158085496,1
lime,channel,z500_18,pred_tmax_degC,0.007667050077265449,0.013463066964679467,1
lime,channel,z300_18,pred_tmax_degC,0.019125921147188037,0.03434847840899632,1
lime,channel,t1000_00,pred_tmax_degC,0.062191494341497726,0.1741505709224921,1
lime,channel,t925_00,pred_tmax_degC,0.05713156583892505,0.1452164031640323,1
lime,channel,t850_00,pred_tmax_degC,-0.007609228436958811,0.02497767079548905,1
lime,channel,t700_00,pred_tmax_degC,-0.0022003026832080933,0.01684665270155572,1
lime,channel,t500_00,pred_tmax_degC,0.008766456354873883,0.029964059432518144,1
lime,channel,t300_00,pred_tmax_degC,0.0016688905294683929,0.02182734526995893,1
lime,channel,t1000_06,pred_tmax_degC,0.09370086683089669,0.13477150676415164,1
lime,channel,t925_06,pred_tmax_degC,0.07560040856168142,0.10990393098717903,1
lime,channel,t850_06,pred_tmax_degC,-0.021974668244548978,0.03142630173930548,1
lime,channel,t700_06,pred_tmax_degC,0.003551054557171316,0.016540849212975918,1
lime,channel,t500_06,pred_tmax_degC,0.0040823208396612905,0.008955987241165494,1
lime,channel,t300_06,pred_tmax_degC,-0.0016437686326254224,0.002729534291528515,1
lime,channel,t1000_12,pred_tmax_degC,0.1540450053268738,0.24479013432819663,1
lime,channel,t925_12,pred_tmax_degC,0.17933585109878966,0.19155971011345757,1
