method,grouping,feature,metric,importance,std,n_channels
pfi,channel,z1000_00,mae,0.00922701358795166,0.0008990494785493204,1
pfi,channel,z1000_00,nll,0.006497526168823242,0.0007507078360707944,1
pfi,channel,z1000_00,crps,0.006293738372468582,0.0006819419213867907,1
pfi,channel,z925_00,mae,0.01246786117553711,0.00097797870451154,1
pfi,channel,z925_00,nll,0.004106450080871582,0.000666688937841455,1
pfi,channel,z925_00,crps,0.005474368179464917,0.0006619188167276608,1
pfi,channel,z850_00,mae,0.0034323215484619142,0.00033141995970417876,1
pfi,channel,z850_00,nll,0.002112126350402832,0.00016563210671145096,1
pfi,channel,z850_00,crps,0.001846348562596334,0.00019758831596373242,1
pfi,channel,z700_00,mae,-0.0013662815093994141,0.0003868576029466825,1
pfi,channel,z700_00,nll,-0.0002928018569946289,0.00037823603170649783,1
pfi,channel,z700_00,crps,-0.0005540459003319231,0.0002786279715587607,1
pfi,channel,z500_00,mae,0.004222607612609864,0.0006170046629363493,1
pfi,channel,z500_00,nll,0.0034109115600585937,0.00037387852875045885,1
pfi,channel,z500_00,crps,0.0027705890402635047,0.00035444049467903865,1
pfi,channel,z300_00,mae,0.0059408903121948246,0.0007759043168302618,1
pfi,channel,z300_00,nll,0.003357243537902832,0.0003593601124825632,1
pfi,channel,z300_00,crps,0.0031313803181149957,0.00037233653729810035,1
pfi,channel,z1000_06,mae,0.005101823806762695,0.0006368277688623422,1
pfi,channel,z1000_06,nll,0.0025699853897094725,0.000494705996296597,1
pfi,channel,z1000_06,crps,0.0026786649939019246,0.00041187667047579856,1
pfi,channel,z925_06,mae,0.014981436729431152,0.002010768120628175,1
pfi,channel,z925_06,nll,0.0061502218246459964,0.001296878450330251,1
pfi,channel,z925_06,crps,0.007100672743464598,0.0012180165311394824,1
pfi,channel,z850_06,mae,0.004822850227355957,0.00029963356779201246,1
pfi,channel,z850_06,nll,0.0016611337661743164,0.00037121402656557475,1
pfi,channel,z850_06,crps,0.0021606858692089894,0.0002543131448286857,1
pfi,channel,z700_06,mae,0.0042485475540161135,0.00025569396788762257,1
pfi,channel,z700_06,nll,0.0028480052947998046,8.273390592540046e-05,1
pfi,channel,z700_06,crps,0.0025178992676854195,9.16897631836215e-05,1
