method,grouping,feature,metric,importance,std,n_channels
pfi,channel,z1000_00,mae,0.022237563133239747,0.0031262404237328584,1
pfi,channel,z1000_00,nll,0.01326286792755127,0.001461565946415407,1
pfi,channel,z1000_00,crps,0.014089692064291937,0.0016529934262561547,1
pfi,channel,z925_00,mae,0.010716819763183593,0.002774702516623445,1
pfi,channel,z925_00,nll,0.0028505802154541017,0.0009629785043349507,1
pfi,channel,z925_00,crps,0.004109537955292964,0.0012873382216600936,1
pfi,channel,z850_00,mae,0.004655861854553222,0.0003227088112729001,1
pfi,channel,z850_00,nll,0.0027793169021606444,0.00019970092469994674,1
pfi,channel,z850_00,crps,0.002332538294509967,0.0001619320058359089,1
pfi,channel,z700_00,mae,0.0013068199157714843,0.0005289392807134383,1
pfi,channel,z700_00,nll,0.0017780780792236329,0.0005343606293600169,1
pfi,channel,z700_00,crps,0.001422995692227902,0.00050646118794124,1
pfi,channel,z500_00,mae,0.004446244239807129,0.0005615318598322938,1
pfi,channel,z500_00,nll,0.003608369827270508,0.0003802805963239391,1
pfi,channel,z500_00,crps,0.0027634124893558985,0.0003708325568851023,1
pfi,channel,z300_00,mae,0.006456732749938965,0.0007522826190530242,1
pfi,channel,z300_00,nll,0.0027318477630615236,0.0004913630070527978,1
pfi,channel,z300_00,crps,0.003056536092216744,0.00043067914001000907,1
pfi,channel,z1000_06,mae,0.0021241426467895506,0.0007301580666513246,1
pfi,channel,z1000_06,nll,0.0003789663314819336,0.0005633713680244747,1
pfi,channel,z1000_06,crps,0.0007833992441748317,0.00046158208611252644,1
pfi,channel,z925_06,mae,0.012002992630004882,0.002891978519112771,1
pfi,channel,z925_06,nll,0.003759479522705078,0.001322226702067893,1
pfi,channel,z925_06,crps,0.004950423859323516,0.0014987206448590004,1
pfi,channel,z850_06,mae,0.0032659530639648437,0.0005445535692077349,1
pfi,channel,z850_06,nll,0.000910496711730957,0.00033626598488223624,1
pfi,channel,z850_06,crps,0.0013760158759751784,0.0002523094556317043,1
pfi,channel,z700_06,mae,0.003846597671508789,0.0003144439866491281,1
pfi,channel,z700_06,nll,0.0027338981628417967,0.000336721873947399,1
pfi,channel,z700_06,crps,0.0023719103115232175,0.0002143493971064406,1
pfi,channel,z500_06,mae,0.0007421016693115234,0.0005645640062418712,1
pfi,channel,z500_06,nll,0.0009955644607543945,0.00026649855221732904,1
pfi,channel,z500_06,crps,0.0006688664184117732,0.00034022896891648565,1
pfi,channel,z300_06,mae,0.0022486448287963867,0.0006077822936453839,1
pfi,channel,z300_06,nll,0.001262974739074707,0.0003235721583215876,1
pfi,channel,z300_06,crps,0.0013040719903264942,0.0003548168587765027,1
pfi,channel,z1000_12,mae,0.08202977180480957,0.0026365172103443666,1
pfi,channel,z1000_12,nll,0.044556069374084475,0.001270766684522958,1
pfi,channel,z1000_12,crps,0.04738472565857536,0.0014248277039224607,1
pfi,channel,z925_12,mae,0.000168609619140625,0.00021618358779205212,1
pfi,channel,z925_12,nll,-0.0002850770950317383,0.00013820149647367566,1
pfi,channel,z925_12,crps,-1.1671434948423709e-05,8.949334227646423e-05,1
pfi,channel,z850_12,mae,0.010713911056518555,0.0014242398257324949,1
pfi,channel,z850_12,nll,0.0038780927658081054,0.000825172727811384,1
pfi,channel,z850_12,crps,0.004918613327209132,0.0008598336862945852,1
pfi,channel,z700_12,mae,0.0071410655975341795,0.0008917540208977349,1
pfi,channel,z700_12,nll,0.003962230682373047,0.0005941386618926398,1
pfi,channel,z700_12,crps,0.003985001996144178,0.000505116462515749,1
pfi,channel,z500_12,mae,0.009224629402160645,0.0006615787764324169,1
pfi,channel,z500_12,nll,0.005157685279846192,0.0005965286755108622,1
pfi,channel,z500_12,crps,0.0050436761036623205,0.0004940076536271097,1
pfi,channel,z300_12,mae,0.004273772239685059,0.0002529403032650328,1
