model,regime,eval_regime,prediction_mode,eval_days,mae,rmse,bias,crps,skill,z_std,coverage_90,mace,ref_mae_degC,ref_rmse_degC
atm,cv,cv_holdout,fold_holdout,1461,1.2386764287948608,1.6520766019821167,0.003464266424998641,0.9193070097989788,0.6408727470865534,0.9264726042747498,0.925244243652311,0.06688368435671185,2.559836387634278,3.3589491844177246
atm,2024,holdout_year_2024,fold_ensemble,366,1.2058578729629517,1.6635538339614868,0.11920033395290375,0.9094306808419897,0.6423188502773517,0.8384859561920166,0.9438199362434343,0.1014839620211678,2.5425736904144287,3.3463215827941895
atm-clip60,cv,cv_holdout,fold_holdout,1461,1.0877857208251953,1.4621024131774902,-0.1395980417728424,0.7870417602600019,0.6925421624358727,1.0375455617904663,0.8976298995716036,0.0212468430655784,2.5598363876342773,3.3589491844177246
atm-clip60,2024,holdout_year_2024,fold_ensemble,366,1.0468748807907104,1.4188646078109741,-0.020960938185453415,0.7570020430962964,0.7022693792710062,0.8869836330413818,0.9323077752645392,0.0582941808507129,2.5425736904144287,3.3463215827941895
atm+wind,cv,cv_holdout,fold_holdout,1461,1.307868242263794,1.7336673736572266,-0.09659527987241745,0.9598186445353957,0.62504687831927,1.0056521892547607,0.908165465040377,0.04215907122751346,2.5598363876342773,3.3589491844177246
atm+wind,2024,holdout_year_2024,fold_ensemble,366,1.2518393993377686,1.7111989259719849,0.06883809715509415,0.9352718024884812,0.6321554785159301,0.8595123291015625,0.9397480102098464,0.08989429847308472,2.5425736904144287,3.3463215827941895
atm+wind-clip60,cv,cv_holdout,fold_holdout,1461,1.0549709796905518,1.4144574403762817,0.07876583933830261,0.7623451718683688,0.7021898838726545,1.0779613256454468,0.8860405944191808,0.011635244398628425,2.5598363876342773,3.3589491844177246
atm+wind-clip60,2024,holdout_year_2024,fold_ensemble,366,1.0289053916931152,1.3880151510238647,0.23108471930027008,0.7413343846401257,0.7084315048822474,0.8993664979934692,0.9297710457606703,0.05031603713666719,2.5425736904144287,3.3463215827941895
atm+sfcanchors,cv,cv_holdout,fold_holdout,1461,1.2029578685760498,1.6143381595611572,-0.1073773056268692,0.8970730866027248,0.6495584284463695,0.9748075008392334,0.9128043194726927,0.06039176900006338,2.5598363876342773,3.3589491844177246
atm+sfcanchors,2024,holdout_year_2024,fold_ensemble,366,1.1739606857299805,1.6201107501983643,0.04550839588046074,0.8893136930659276,0.65023090720294,0.8639007210731506,0.9364574845889662,0.09571456187421001,2.5425736904144283,3.3463215827941895
sfc,cv,cv_holdout,fold_holdout,1461,1.4153244495391846,1.8657732009887695,-0.032514773309230804,1.0312878674056456,0.597127428773395,0.9905723929405212,0.9048756693246112,0.03518638990093867,2.559836387634277,3.3589491844177246
sfc,2024,holdout_year_2024,fold_ensemble,366,1.4748291969299316,1.974496603012085,0.13306860625743866,1.0769621117540638,0.5764283584722677,0.9631175398826599,0.9100211079288193,0.045478270752905184,2.5425736904144287,3.3463215827941895
sfc-nogeo,cv,cv_holdout,fold_holdout,1461,1.4489860534667969,1.8994802236557007,0.009698120877146721,1.0556962380393131,0.5875922995942114,0.9471898078918457,0.9185452030926732,0.0476437380014281,2.5598363876342773,3.3589491844177246
sfc-nogeo,2024,holdout_year_2024,fold_ensemble,366,1.4934974908828735,1.982967734336853,0.11509286612272263,1.090353135556672,0.5711616384345781,0.9109761118888855,0.9232472500390086,0.05729695590120185,2.542573690414429,3.3463215827941895
