model,regime,eval_regime,prediction_mode,n_stations_evaluated,n_days_total,st_mae,st_crps,st_skill,st_skill_low,st_skill_med,st_bias,st_abs_bias,st_sys_share,st_mae_era5
atm,cv,cv_holdout,fold_holdout,28,40908,1.5952855348587036,1.1720671579019428,0.7322669279880194,0.6541758649518545,0.7277852219173275,0.17342430353164673,0.4694137126706274,0.2942505917677013,4.377745151519775
atm,2024,holdout_year_2024,fold_ensemble,28,10248,1.604797124862671,1.1828203763280287,0.7279325399449956,0.641097115147116,0.7190183917393216,0.3186190724372864,0.5151223639425423,0.3209890870078817,4.3475260734558105
atm-clip60,cv,cv_holdout,fold_holdout,28,40908,1.437174916267395,1.050573414115321,0.7600195128419925,0.702691687117683,0.7576901643588068,-0.07686028629541397,0.468324300167816,0.325864510204603,4.377745151519775
atm-clip60,2024,holdout_year_2024,fold_ensemble,28,10248,1.3819661140441895,0.9915469267946081,0.7719284691934151,0.7187383812480866,0.7642854272397783,0.0726189985871315,0.4178039215372077,0.30232573526317885,4.3475260734558105
atm+wind,cv,cv_holdout,fold_holdout,28,40908,1.6712325811386108,1.2249348672135494,0.7201904576861214,0.6308568787772034,0.692252317552974,0.0245809443295002,0.5140945072219308,0.30761398085697816,4.377745151519775
atm+wind,2024,holdout_year_2024,fold_ensemble,28,10248,1.6554217338562012,1.212769302631547,0.7210438115515367,0.6293761086604565,0.69864082155676,0.21961870789527893,0.49019935690531774,0.29611750702549317,4.3475260734558105
atm+wind-clip60,cv,cv_holdout,fold_holdout,28,40908,1.3843330144882202,1.01630910509397,0.7678464437928396,0.7133127304717832,0.7606443315278086,0.14691297709941864,0.3891390952215131,0.2811022284008559,4.377745151519775
atm+wind-clip60,2024,holdout_year_2024,fold_ensemble,28,10248,1.353258728981018,0.9700309371539515,0.7768774883084526,0.7263745071868114,0.7644574081727661,0.30005839467048645,0.4242396681968655,0.3134948691713307,4.3475260734558105
atm+sfcanchors,cv,cv_holdout,fold_holdout,28,40908,1.582706332206726,1.169446900188884,0.7328654684745868,0.6604351978487444,0.7282421143618618,0.020603056997060776,0.463893400239093,0.2931013737667294,4.377745151519775
atm+sfcanchors,2024,holdout_year_2024,fold_ensemble,28,10248,1.5764038562774658,1.1667802240437328,0.7316220295566234,0.6495857106040808,0.729870841037653,0.1969384402036667,0.48593977880331557,0.30825843064785324,4.3475260734558105
sfc,cv,cv_holdout,fold_holdout,28,40908,1.730596661567688,1.252180719271762,0.7139667395126791,0.6048199087255164,0.7241698357289287,-0.024655649438500404,0.5327395358056363,0.30783575840429844,4.377745151519775
sfc,2024,holdout_year_2024,fold_ensemble,28,10248,1.7832690477371216,1.2931040689029996,0.7025655402510047,0.5749656531097714,0.7105599811951759,0.17466451227664948,0.5669078947311001,0.3179037372125522,4.3475260734558105
sfc-nogeo,cv,cv_holdout,fold_holdout,28,40908,1.740659475326538,1.254674527638268,0.7133970836098817,0.6077348691220966,0.7054855930886275,-0.016076285392045975,0.6116923479629415,0.35141413736204286,4.377745151519775
sfc-nogeo,2024,holdout_year_2024,fold_ensemble,28,10248,1.7726659774780273,1.2776254551219297,0.7061258670942584,0.5843492035797477,0.7024543635862359,0.11376650631427765,0.5794114843010902,0.3268588056986456,4.3475260734558105
