stn,name,cohort,lat,lon,is_nbcn,elev,elev_diff,mae,bias,crps,mae_ref_raw,mae_ref_corr,skill_raw,skill_corr,z_std,cov90,pit_mean,pit_std,mae_tail,bias_tail,cov90_tail,n_days
ALT,Altdorf,nbcn,46.887069,8.621894,True,438.0,-730.4423291413268,1.8088058233261108,-0.16886407136917114,1.3782763695860765,6.651829242706299,2.7006598748208357,0.7927973916201547,0.4896519985962643,1.9144753217697144,0.6570841889117043,0.5513048230808483,0.3628315137266371,1.045821189880371,0.1861184537410736,0.7533333333333333,1461
BAS,Basel / Binningen,nbcn,47.541142,7.583525,True,316.0,-20.92088957367406,0.9896956086158752,-0.019054226577281952,0.7263650938375359,1.7350276708602905,1.644931926558749,0.5813524440925041,0.5584223990611482,1.1882474422454834,0.865160848733744,0.517704606880647,0.2940234843617949,0.8141393661499023,-0.22745192050933838,0.8851351351351351,1461
BER,Bern / Zollikofen,nbcn,46.990744,7.464061,True,553.0,-42.99078112868153,0.8571036458015442,0.07103927433490753,0.6283892975693678,1.8918167352676392,1.7379835666862797,0.6678381759423075,0.6384377219587387,1.0015666484832764,0.9014373716632443,0.48266847209771274,0.27223924841095354,0.6387699842453003,0.07723589986562729,0.8888888888888888,1461
CDF,La Chaux-de-Fonds,nbcn,47.082947,6.792314,True,1017.0,-12.418788816429014,0.9879463911056519,-0.21869097650051117,0.7160619759635426,0.998722493648529,0.9886182456742812,0.2830220801900357,0.2756941528272556,1.04013991355896,0.8870636550308009,0.5386739345542526,0.2838289926849143,0.8429620862007141,-0.28539419174194336,0.87248322147651,1461
CHD,Château-d'Oex,nbcn,46.479819,7.139656,True,1028.0,-382.2097770820874,1.3670836687088013,-0.1538093090057373,0.9991169308141844,4.424276828765869,2.3835540959759958,0.7741739566751108,0.5808289258041466,1.4098727703094482,0.7782340862422998,0.5782336459770764,0.32364470655342065,1.0752772092819214,-0.9100510478019714,0.7266666666666667,1461
CHM,Chaumont,nbcn,47.049169,6.978825,True,1136.0,353.761084702664,1.2332960367202759,0.4926389455795288,0.8747618179304759,2.30472731590271,1.0851736211454284,0.6204488869921467,0.19389690194722708,1.1308081150054932,0.839151266255989,0.36143748537198184,0.2890260792931671,1.0287039279937744,0.6372199058532715,0.7718120805369127,1461
DAV,Davos,nbcn,46.812969,9.843558,True,1594.0,-462.976534910325,1.2136341333389282,-0.09511256217956543,0.867228582265726,5.137354850769043,2.3419560412368585,0.8311916136889191,0.6296990349111267,1.0289051532745361,0.9021218343600274,0.5281607157665713,0.28507595957331244,1.0821659564971924,-0.5273417830467224,0.8445945945945946,1461
ELM,Elm,nbcn,46.923742,9.175347,True,958.0,-1009.9231354375409,1.7071492671966553,0.6893433928489685,1.2634738870210602,6.187723159790039,2.178726406928563,0.7958095644563496,0.4200860268627168,1.557886004447937,0.7412731006160165,0.40656090486037805,0.33882502883595905,1.1341826915740967,0.3389735817909241,0.7549668874172185,1461
ENG,Engelberg,nbcn,46.821639,8.410514,True,1036.0,-677.2180216391614,1.5145832300186157,-0.3938000500202179,1.100879187985055,5.714834213256836,2.2627131743389994,0.8073646326552537,0.5134694045759238,1.3200523853302002,0.7823408624229979,0.586364193336044,0.31840934064295223,1.260899305343628,-0.930946409702301,0.7210884353741497,1461
GRC,Grächen,nbcn,46.195314,7.836822,True,1605.0,-508.1865406289812,1.2617931365966797,0.42168277502059937,0.9069063095065513,7.0570149421691895,3.85007299414288,0.8714886794291262,0.7644443856295118,1.2000901699066162,0.8295687885010267,0.4229159551405442,0.30458383028448677,0.960884690284729,-0.01109337154775858,0.8513513513513513,1461
